unit_id,unit_level,pref_name,unit_code,n_geoms
mura:Aomori:JP02001,mura,Aomori,JP02001,65
mura:Aomori:JP02002,mura,Aomori,JP02002,65
mura:Aomori:JP02003,mura,Aomori,JP02003,65
mura:Aomori:JP02004,mura,Aomori,JP02004,65
mura:Aomori:JP02005,mura,Aomori,JP02005,65
mura:Aomori:JP02006,mura,Aomori,JP02006,65
mura:Aomori:JP02007,mura,Aomori,JP02007,65
mura:Aomori:JP02008,mura,Aomori,JP02008,65
mura:Aomori:JP02009,mura,Aomori,JP02009,65
mura:Aomori:JP02010,mura,Aomori,JP02010,65
mura:Aomori:JP02011,mura,Aomori,JP02011,65
mura:Aomori:JP02012,mura,Aomori,JP02012,65
mura:Aomori:JP02013,mura,Aomori,JP02013,65
mura:Aomori:JP02014,mura,Aomori,JP02014,65
mura:Aomori:JP02015,mura,Aomori,JP02015,65
mura:Aomori:JP02016,mura,Aomori,JP02016,65
mura:Aomori:JP02017,mura,Aomori,JP02017,65
mura:Aomori:JP02018,mura,Aomori,JP02018,65
mura:Aomori:JP02019,mura,Aomori,JP02019,65
mura:Aomori:JP02020,mura,Aomori,JP02020,65
mura:Aomori:JP02021,mura,Aomori,JP02021,65
mura:Aomori:JP02022,mura,Aomori,JP02022,65
mura:Aomori:JP02023,mura,Aomori,JP02023,65
mura:Aomori:JP02024,mura,Aomori,JP02024,65
mura:Aomori:JP02025,mura,Aomori,JP02025,65
mura:Aomori:JP02026,mura,Aomori,JP02026,65
mura:Aomori:JP02027,mura,Aomori,JP02027,65
mura:Aomori:JP02028,mura,Aomori,JP02028,65
mura:Aomori:JP02029,mura,Aomori,JP02029,65
mura:Aomori:JP02030,mura,Aomori,JP02030,65
mura:Aomori:JP02031,mura,Aomori,JP02031,65
mura:Aomori:JP02032,mura,Aomori,JP02032,65
mura:Aomori:JP02033,mura,Aomori,JP02033,65
mura:Aomori:JP02034,mura,Aomori,JP02034,65
mura:Aomori:JP02035,mura,Aomori,JP02035,65
mura:Aomori:JP02036,mura,Aomori,JP02036,65
mura:Aomori:JP02037,mura,Aomori,JP02037,65
mura:Aomori:JP02038,mura,Aomori,JP02038,65
mura:Aomori:JP02039,mura,Aomori,JP02039,65
mura:Aomori:JP02040,mura,Aomori,JP02040,65
mura:Akita:JP05001,mura,Akita,JP05001,65
mura:Akita:JP05002,mura,Akita,JP05002,65
mura:Akita:JP05003,mura,Akita,JP05003,65
mura:Akita:JP05004,mura,Akita,JP05004,65
mura:Akita:JP05005,mura,Akita,JP05005,65
mura:Akita:JP05006,mura,Akita,JP05006,65
mura:Akita:JP05007,mura,Akita,JP05007,65
mura:Akita:JP05008,mura,Akita,JP05008,65
mura:Akita:JP05009,mura,Akita,JP05009,65
mura:Akita:JP05010,mura,Akita,JP05010,65
mura:Akita:JP05011,mura,Akita,JP05011,65
mura:Akita:JP05012,mura,Akita,JP05012,65
mura:Akita:JP05013,mura,Akita,JP05013,65
mura:Akita:JP05014,mura,Akita,JP05014,65
mura:Akita:JP05015,mura,Akita,JP05015,65
mura:Akita:JP05016,mura,Akita,JP05016,65
mura:Akita:JP05017,mura,Akita,JP05017,65
mura:Akita:JP05018,mura,Akita,JP05018,65
mura:Akita:JP05019,mura,Akita,JP05019,65
mura:Akita:JP05020,mura,Akita,JP05020,65
mura:Akita:JP05021,mura,Akita,JP05021,65
mura:Akita:JP05022,mura,Akita,JP05022,65
mura:Akita:JP05023,mura,Akita,JP05023,65
mura:Akita:JP05024,mura,Akita,JP05024,65
mura:Akita:JP05025,mura,Akita,JP05025,65
aza:Aomori:022010010,aza,Aomori,022010010,9038
aza:Aomori:02201002000,aza,Aomori,02201002000,9038
aza:Aomori:02201002001,aza,Aomori,02201002001,9038
aza:Aomori:02201002002,aza,Aomori,02201002002,9038
aza:Aomori:02201003001,aza,Aomori,02201003001,9038
aza:Aomori:02201003002,aza,Aomori,02201003002,9038
aza:Aomori:02201004001,aza,Aomori,02201004001,9038
aza:Aomori:02201004002,aza,Aomori,02201004002,9038
aza:Aomori:02201004003,aza,Aomori,02201004003,9038
aza:Aomori:02201004004,aza,Aomori,02201004004,9038
aza:Aomori:02201005001,aza,Aomori,02201005001,9038
aza:Aomori:02201005002,aza,Aomori,02201005002,9038
aza:Aomori:02201006001,aza,Aomori,02201006001,9038
aza:Aomori:02201006002,aza,Aomori,02201006002,9038
aza:Aomori:022010070,aza,Aomori,022010070,9038
aza:Aomori:02201008001,aza,Aomori,02201008001,9038
aza:Aomori:02201008002,aza,Aomori,02201008002,9038
aza:Aomori:02201009000,aza,Aomori,02201009000,9038
aza:Aomori:02201009001,aza,Aomori,02201009001,9038
aza:Aomori:02201009002,aza,Aomori,02201009002,9038
aza:Aomori:02201009003,aza,Aomori,02201009003,9038
aza:Aomori:02201010001,aza,Aomori,02201010001,9038
aza:Aomori:02201010002,aza,Aomori,02201010002,9038
aza:Aomori:02201011001,aza,Aomori,02201011001,9038
aza:Aomori:02201011002,aza,Aomori,02201011002,9038
aza:Aomori:02201011003,aza,Aomori,02201011003,9038
aza:Aomori:02201012001,aza,Aomori,02201012001,9038
aza:Aomori:02201012002,aza,Aomori,02201012002,9038
aza:Aomori:02201013001,aza,Aomori,02201013001,9038
aza:Aomori:02201013002,aza,Aomori,02201013002,9038
aza:Aomori:02201013003,aza,Aomori,02201013003,9038
aza:Aomori:02201013004,aza,Aomori,02201013004,9038
aza:Aomori:02201013005,aza,Aomori,02201013005,9038
aza:Aomori:02201013006,aza,Aomori,02201013006,9038
aza:Aomori:02201013007,aza,Aomori,02201013007,9038
aza:Aomori:02201013008,aza,Aomori,02201013008,9038
aza:Aomori:02201013009,aza,Aomori,02201013009,9038
aza:Aomori:02201014001,aza,Aomori,02201014001,9038
aza:Aomori:02201014002,aza,Aomori,02201014002,9038
aza:Aomori:02201014003,aza,Aomori,02201014003,9038
aza:Aomori:02201014004,aza,Aomori,02201014004,9038
aza:Aomori:02201015002,aza,Aomori,02201015002,9038
aza:Aomori:02201015003,aza,Aomori,02201015003,9038
aza:Aomori:02201017101,aza,Aomori,02201017101,9038
aza:Aomori:02201017102,aza,Aomori,02201017102,9038
aza:Aomori:02201017202,aza,Aomori,02201017202,9038
aza:Aomori:02201017203,aza,Aomori,02201017203,9038
aza:Aomori:02201017204,aza,Aomori,02201017204,9038
aza:Aomori:02201017204,aza,Aomori,02201017204,9038
aza:Aomori:02201017205,aza,Aomori,02201017205,9038
aza:Aomori:02201017206,aza,Aomori,02201017206,9038
aza:Aomori:022010180,aza,Aomori,022010180,9038
aza:Aomori:02201019001,aza,Aomori,02201019001,9038
aza:Aomori:02201019002,aza,Aomori,02201019002,9038
aza:Aomori:02201019003,aza,Aomori,02201019003,9038
aza:Aomori:02201020001,aza,Aomori,02201020001,9038
aza:Aomori:02201020002,aza,Aomori,02201020002,9038
aza:Aomori:02201021001,aza,Aomori,02201021001,9038
aza:Aomori:02201021002,aza,Aomori,02201021002,9038
aza:Aomori:02201021003,aza,Aomori,02201021003,9038
aza:Aomori:02201021004,aza,Aomori,02201021004,9038
aza:Aomori:02201022001,aza,Aomori,02201022001,9038
aza:Aomori:02201022002,aza,Aomori,02201022002,9038
aza:Aomori:02201022003,aza,Aomori,02201022003,9038
aza:Aomori:02201022004,aza,Aomori,02201022004,9038
aza:Aomori:02201023001,aza,Aomori,02201023001,9038
aza:Aomori:02201023002,aza,Aomori,02201023002,9038
aza:Aomori:02201023002,aza,Aomori,02201023002,9038
aza:Aomori:02201023003,aza,Aomori,02201023003,9038
aza:Aomori:02201023004,aza,Aomori,02201023004,9038
aza:Aomori:02201023005,aza,Aomori,02201023005,9038
aza:Aomori:02201024001,aza,Aomori,02201024001,9038
aza:Aomori:02201024003,aza,Aomori,02201024003,9038
aza:Aomori:02201024004,aza,Aomori,02201024004,9038
aza:Aomori:02201024005,aza,Aomori,02201024005,9038
aza:Aomori:02201024006,aza,Aomori,02201024006,9038
aza:Aomori:02201025001,aza,Aomori,02201025001,9038
aza:Aomori:02201025002,aza,Aomori,02201025002,9038
aza:Aomori:02201026001,aza,Aomori,02201026001,9038
aza:Aomori:02201026002,aza,Aomori,02201026002,9038
aza:Aomori:02201026003,aza,Aomori,02201026003,9038
aza:Aomori:02201026004,aza,Aomori,02201026004,9038
aza:Aomori:02201026005,aza,Aomori,02201026005,9038
aza:Aomori:02201027000,aza,Aomori,02201027000,9038
aza:Aomori:02201027001,aza,Aomori,02201027001,9038
aza:Aomori:02201027002,aza,Aomori,02201027002,9038
aza:Aomori:02201027003,aza,Aomori,02201027003,9038
aza:Aomori:02201027004,aza,Aomori,02201027004,9038
aza:Aomori:02201027005,aza,Aomori,02201027005,9038
aza:Aomori:02201027006,aza,Aomori,02201027006,9038
aza:Aomori:02201027008,aza,Aomori,02201027008,9038
aza:Aomori:02201027009,aza,Aomori,02201027009,9038
aza:Aomori:02201028001,aza,Aomori,02201028001,9038
aza:Aomori:02201028002,aza,Aomori,02201028002,9038
aza:Aomori:02201029001,aza,Aomori,02201029001,9038
aza:Aomori:02201029002,aza,Aomori,02201029002,9038
aza:Aomori:02201029003,aza,Aomori,02201029003,9038
aza:Aomori:02201030001,aza,Aomori,02201030001,9038
aza:Aomori:02201030002,aza,Aomori,02201030002,9038
aza:Aomori:02201030003,aza,Aomori,02201030003,9038
