KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000851001,T000851002,T000851003,T000851004,T000851005,T000851006,T000851007,T000851008,T000851009
,,,,,,,一般世帯総数,　親族のみの世帯,　核家族世帯,　　うち夫婦のみの世帯,　　うち夫婦と子供から成る世帯,　核家族以外の世帯,　６歳未満世帯員のいる一般世帯総数,　１８歳未満世帯員のいる一般世帯総数,　６５歳以上世帯員のいる一般世帯総数
05201,1,秋田市,,0,,,135018,86650,74097,28726,33173,12553,10099,27123,56719
052010010,2,秋田市,千秋,0,,,2359,1115,1005,446,386,110,121,329,772
05201001001,3,秋田市,千秋北の丸,0,,,257,173,146,65,56,27,6,44,141
05201001002,3,秋田市,千秋久保田町,0,,,259,71,69,29,24,2,10,24,45
05201001003,3,秋田市,千秋公園,0,,,31,17,15,6,4,2,1,1,20
05201001004,3,秋田市,千秋城下町,0,,,406,145,128,72,41,17,16,32,123
05201001005,3,秋田市,千秋中島町,0,,,379,223,184,77,66,39,14,52,175
05201001006,3,秋田市,千秋明徳町,0,,,110,53,47,23,12,6,3,16,33
05201001007,3,秋田市,千秋矢留町,0,,,917,433,416,174,183,17,71,160,235
052010020,2,秋田市,手形,0,,,2559,815,708,282,311,107,110,255,668
05201002001,3,秋田市,手形からみでん,0,,,275,103,90,46,27,13,8,18,119
05201002002,3,秋田市,手形学園町,0,,,-,-,-,-,-,-,-,-,-
05201002003,3,秋田市,手形休下町,0,,,191,98,90,28,45,8,6,27,73
05201002004,3,秋田市,手形新栄町,0,,,312,85,68,35,19,17,5,17,72
05201002005,3,秋田市,手形住吉町,0,,,394,153,151,47,102,2,53,90,43
05201002006,3,秋田市,手形田中,0,,,936,270,229,94,83,41,30,77,225
05201002007,3,秋田市,手形山崎町,0,,,451,106,80,32,35,26,8,26,136
052010030,2,秋田市,中通,0,,,2219,821,764,363,288,57,105,255,671
05201003001,3,秋田市,中通１丁目,0,,,231,92,90,47,35,2,17,34,54
05201003002,3,秋田市,中通２丁目,0,,,67,4,3,1,2,1,-,2,6
05201003003,3,秋田市,中通３丁目,0,,,440,157,150,77,45,7,15,38,183
05201003004,3,秋田市,中通４丁目,0,,,178,59,51,29,12,8,2,12,64
05201003005,3,秋田市,中通５丁目,0,,,624,219,204,89,80,15,29,68,171
05201003006,3,秋田市,中通６丁目,0,,,493,175,154,80,61,21,21,56,149
05201003007,3,秋田市,中通７丁目,0,,,186,115,112,40,53,3,21,45,44
052010040,2,秋田市,南通,0,,,2201,883,803,333,328,80,133,294,642
05201004001,3,秋田市,南通亀の町,0,,,524,184,161,81,46,23,16,47,177
05201004002,3,秋田市,南通築地,0,,,791,330,300,115,122,30,41,112,254
05201004003,3,秋田市,南通みその町,0,,,155,74,65,28,24,9,10,21,71
05201004004,3,秋田市,南通宮田,0,,,731,295,277,109,136,18,66,114,140
052010050,2,秋田市,保戸野,0,,,2621,1551,1372,569,565,179,164,484,1154
05201005001,3,秋田市,保戸野金砂町,0,,,101,75,66,36,20,9,4,17,68
05201005002,3,秋田市,保戸野桜町,0,,,312,221,197,78,91,24,26,69,132
05201005003,3,秋田市,保戸野すわ町,0,,,359,225,202,85,89,23,28,78,151
05201005004,3,秋田市,保戸野千代田町,0,,,373,230,204,83,79,26,26,70,166
05201005005,3,秋田市,保戸野鉄砲町,0,,,361,169,148,59,53,21,17,41,159
05201005006,3,秋田市,保戸野通町,0,,,154,79,69,34,28,10,5,29,62
05201005007,3,秋田市,保戸野中町,0,,,268,142,124,45,62,18,12,49,102
05201005008,3,秋田市,保戸野八丁,0,,,406,215,188,80,68,27,24,67,181
05201005009,3,秋田市,保戸野原の町,0,,,287,195,174,69,75,21,22,64,133
052010060,2,秋田市,高陽,0,,,1077,468,425,166,193,43,63,155,320
05201006001,3,秋田市,高陽青柳町,0,,,729,296,266,115,104,30,31,77,226
05201006002,3,秋田市,高陽幸町,0,,,348,172,159,51,89,13,32,78,94
052010070,2,秋田市,大町,0,,,1559,698,614,287,198,84,58,166,657
05201007001,3,秋田市,大町１丁目,0,,,331,155,143,79,38,12,11,28,154
05201007002,3,秋田市,大町２丁目,0,,,162,82,76,38,24,6,4,12,92
05201007003,3,秋田市,大町３丁目,0,,,140,82,67,26,26,15,5,26,67
05201007004,3,秋田市,大町４丁目,0,,,306,124,115,47,42,9,17,35,104
05201007005,3,秋田市,大町５丁目,0,,,270,114,96,51,22,18,7,25,125
05201007006,3,秋田市,大町６丁目,0,,,350,141,117,46,46,24,14,40,115
052010080,2,秋田市,旭北,0,,,414,141,122,53,41,19,17,38,128
05201008001,3,秋田市,旭北栄町,0,,,212,46,40,17,13,6,8,15,45
05201008002,3,秋田市,旭北寺町,0,,,51,39,29,14,11,10,4,6,36
05201008003,3,秋田市,旭北錦町,0,,,151,56,53,22,17,3,5,17,47
052010090,2,秋田市,楢山,0,,,3718,2376,2090,814,860,286,223,641,1774
05201009001,3,秋田市,楢山太田町,0,,,240,137,116,47,49,21,14,34,138
05201009002,3,秋田市,楢山大元町,0,,,180,119,96,42,39,23,7,27,96
05201009004,3,秋田市,楢山共和町,0,,,160,107,99,32,44,8,11,26,83
05201009005,3,秋田市,楢山金照町,0,,,66,44,36,17,13,8,1,7,38
05201009006,3,秋田市,楢山佐竹町,0,,,68,34,31,11,12,3,3,11,33
05201009007,3,秋田市,楢山城南町,0,,,160,121,104,31,45,17,14,38,81
05201009008,3,秋田市,楢山登町,0,,,673,364,325,126,124,39,44,108,277
05201009009,3,秋田市,楢山本町,0,,,414,240,213,72,90,27,23,71,181
05201009010,3,秋田市,楢山南中町,0,,,575,349,311,131,128,38,34,90,296
05201009011,3,秋田市,楢山石塚町,0,,,329,237,204,96,76,33,18,52,156
05201009012,3,秋田市,楢山川口境,0,,,291,204,182,74,67,22,16,54,139
