unit_id,pref_name,unit_code,city_name_ja,pop_total,pop_male,pop_female,households_total,households_total_from_popfile,age_u15,age_15_64,age_65_plus,age_75_plus
aza:Akita:052010010,Akita,052010010,秋田市,4258.0,2037.0,2221.0,2309.0,2313.0,385.0,2440.0,1264.0,575.0
aza:Akita:05201001001,Akita,05201001001,秋田市,554.0,272.0,282.0,263.0,263.0,40.0,297.0,215.0,99.0
aza:Akita:05201001002,Akita,05201001002,秋田市,329.0,176.0,153.0,232.0,233.0,17.0,232.0,66.0,35.0
aza:Akita:05201001003,Akita,05201001003,秋田市,53.0,23.0,30.0,27.0,27.0,4.0,25.0,23.0,17.0
aza:Akita:05201001004,Akita,05201001004,秋田市,670.0,329.0,341.0,401.0,401.0,62.0,370.0,191.0,85.0
aza:Akita:05201001005,Akita,05201001005,秋田市,727.0,351.0,376.0,365.0,365.0,63.0,375.0,266.0,130.0
aza:Akita:05201001006,Akita,05201001006,秋田市,196.0,90.0,106.0,109.0,111.0,12.0,118.0,52.0,25.0
aza:Akita:05201001007,Akita,05201001007,秋田市,1729.0,796.0,933.0,912.0,913.0,187.0,1023.0,451.0,184.0
aza:Akita:052010020,Akita,052010020,秋田市,3793.0,2051.0,1742.0,2400.0,2403.0,269.0,2338.0,920.0,549.0
aza:Akita:05201002001,Akita,05201002001,秋田市,453.0,237.0,216.0,269.0,269.0,42.0,205.0,159.0,87.0
aza:Akita:05201002002,Akita,05201002002,秋田市,,,,,,,,,
aza:Akita:05201002003,Akita,05201002003,秋田市,377.0,187.0,190.0,200.0,200.0,29.0,216.0,110.0,57.0
aza:Akita:05201002004,Akita,05201002004,秋田市,466.0,229.0,237.0,292.0,293.0,22.0,270.0,146.0,99.0
aza:Akita:05201002005,Akita,05201002005,秋田市,501.0,286.0,215.0,314.0,314.0,72.0,348.0,59.0,51.0
aza:Akita:05201002006,Akita,05201002006,秋田市,1394.0,773.0,621.0,897.0,899.0,82.0,917.0,298.0,171.0
aza:Akita:05201002007,Akita,05201002007,秋田市,602.0,339.0,263.0,428.0,428.0,22.0,382.0,148.0,84.0
aza:Akita:052010030,Akita,052010030,秋田市,4229.0,1955.0,2274.0,2448.0,2459.0,275.0,2265.0,1359.0,788.0
aza:Akita:05201003001,Akita,05201003001,秋田市,462.0,214.0,248.0,243.0,244.0,34.0,243.0,150.0,101.0
aza:Akita:05201003002,Akita,05201003002,秋田市,87.0,58.0,29.0,83.0,83.0,1.0,61.0,4.0,2.0
aza:Akita:05201003003,Akita,05201003003,秋田市,799.0,349.0,450.0,509.0,509.0,53.0,420.0,263.0,121.0
aza:Akita:05201003004,Akita,05201003004,秋田市,406.0,174.0,232.0,206.0,211.0,10.0,141.0,231.0,182.0
aza:Akita:05201003005,Akita,05201003005,秋田市,1045.0,504.0,541.0,660.0,661.0,71.0,610.0,280.0,128.0
aza:Akita:05201003006,Akita,05201003006,秋田市,961.0,440.0,521.0,475.0,479.0,54.0,464.0,364.0,228.0
aza:Akita:05201003007,Akita,05201003007,秋田市,469.0,216.0,253.0,272.0,272.0,52.0,326.0,67.0,26.0
aza:Akita:052010040,Akita,052010040,秋田市,3935.0,1845.0,2090.0,2267.0,2271.0,399.0,2259.0,999.0,502.0
aza:Akita:05201004001,Akita,05201004001,秋田市,957.0,424.0,533.0,626.0,627.0,55.0,571.0,244.0,125.0
aza:Akita:05201004002,Akita,05201004002,秋田市,1357.0,601.0,756.0,768.0,768.0,146.0,771.0,373.0,156.0
aza:Akita:05201004003,Akita,05201004003,秋田市,330.0,145.0,185.0,180.0,181.0,30.0,189.0,96.0,66.0
aza:Akita:05201004004,Akita,05201004004,秋田市,1291.0,675.0,616.0,693.0,695.0,168.0,728.0,286.0,155.0
aza:Akita:052010050,Akita,052010050,秋田市,5469.0,2506.0,2963.0,2642.0,2649.0,570.0,3027.0,1750.0,973.0
