unit_id,pref_name,muni_code,city_name_ja,pop_total,pop_male,pop_female,households_total,households_total_from_popfile,age_u15,age_15_64,age_65_plus,age_75_plus
mura:Akita:05201,Akita,05201,秋田市,307672,145411,162261,136634,136952,32809,172755,95949,48525
mura:Akita:05202,Akita,05202,能代市,49968,22932,27036,21076,21191,4231,24953,20765,11466
mura:Akita:05203,Akita,05203,横手市,85555,40326,45229,31013,31109,8532,43422,33401,17883
mura:Akita:05204,Akita,05204,大館市,69237,32551,36686,27959,28044,6479,35272,26998,14851
mura:Akita:05206,Akita,05206,男鹿市,25154,11860,13294,10447,10492,1723,11474,11809,6282
mura:Akita:05207,Akita,05207,湯沢市,42091,20115,21976,15620,15685,3613,21485,16926,9195
mura:Akita:05209,Akita,05209,鹿角市,29088,13684,15404,10932,10978,2877,14259,11843,6521
mura:Akita:05210,Akita,05210,由利本荘市,74707,35842,38865,28251,28362,7467,38918,27783,14516
mura:Akita:05211,Akita,05211,潟上市,31720,14967,16753,12250,12287,3272,17095,11218,5637
mura:Akita:05212,Akita,05212,大仙市,77657,36287,41370,28275,28370,7611,39751,29871,16022
mura:Akita:05213,Akita,05213,北秋田市,30198,14157,16041,11727,11799,2437,14260,13438,7547
mura:Akita:05214,Akita,05214,にかほ市,23435,11218,12217,8613,8635,2244,12041,9140,4803
mura:Akita:05215,Akita,05215,仙北市,24610,11408,13202,9220,9252,2135,11845,10533,5646
mura:Akita:05303,Akita,05303,小坂町,4780,2232,2548,2029,2043,354,2281,2145,1227
mura:Akita:05327,Akita,05327,上小阿仁村,2063,986,1077,825,830,117,839,1107,677
mura:Akita:05346,Akita,05346,藤里町,2896,1380,1516,1117,1126,200,1283,1413,780
mura:Akita:05348,Akita,05348,三種町,15254,7034,8220,5707,5740,1167,7151,6935,3815
mura:Akita:05349,Akita,05349,八峰町,6577,3071,3506,2605,2615,442,3098,3036,1659
mura:Akita:05361,Akita,05361,五城目町,8538,3985,4553,3336,3351,596,3896,4038,2261
mura:Akita:05363,Akita,05363,八郎潟町,5583,2534,3049,2134,2144,423,2678,2477,1331
mura:Akita:05366,Akita,05366,井川町,4566,2130,2436,1523,1528,332,2231,1977,1066
mura:Akita:05368,Akita,05368,大潟村,3011,1500,1511,835,839,350,1686,954,558
mura:Akita:05434,Akita,05434,美郷町,18613,8701,9912,5965,5999,1770,9474,7367,3973
mura:Akita:05463,Akita,05463,羽後町,13825,6637,7188,4648,4658,1286,7085,5437,2824
mura:Akita:05464,Akita,05464,東成瀬村,2704,1491,1213,790,1158,206,1455,1008,545
mura:Aomori:02201,Aomori,02201,青森市,275192,128049,147143,118067,118483,28040,150122,84787,42083
mura:Aomori:02202,Aomori,02202,弘前市,168466,77251,91215,70743,71022,17417,95115,53922,27960
mura:Aomori:02203,Aomori,02203,八戸市,223415,106818,116597,95422,95671,25636,126567,69328,34454
mura:Aomori:02204,Aomori,02204,黒石市,31946,14789,17157,11618,11661,3214,17723,10943,5403
mura:Aomori:02205,Aomori,02205,五所川原市,51415,23252,28163,20797,20908,4852,27798,18363,9807
mura:Aomori:02206,Aomori,02206,十和田市,60378,28685,31693,25462,25540,6398,33001,20320,10052
mura:Aomori:02207,Aomori,02207,三沢市,39152,19602,19550,17164,17252,4994,23094,10385,5252
mura:Aomori:02208,Aomori,02208,むつ市,54103,26104,27999,23996,24077,5714,29283,18249,8939
