unit_id,pref_name,muni_code,city_name_ja,pop_total_2015,pop_male_2015,pop_female_2015,households_total_2015,households_total_from_popfile_2015,age_u15_2015,age_15_64_2015,age_65_plus_2015,age_75_plus_2015,pop_total_2020,pop_male_2020,pop_female_2020,households_total_2020,households_total_from_popfile_2020,age_u15_2020,age_15_64_2020,age_65_plus_2020,age_75_plus_2020
mura:Akita:05201,Akita,05201,秋田市,315814,148851,166963,135018,135318,34916,186207,88713,44599,307672,145411,162261,136634,136952,32809,172755,95949,48525
mura:Akita:05202,Akita,05202,能代市,54730,25170,29560,22295,22371,5058,28184,20248,11091,49968,22932,27036,21076,21191,4231,24953,20765,11466
mura:Akita:05203,Akita,05203,横手市,92197,43274,48923,31375,31463,9805,49769,32319,18503,85555,40326,45229,31013,31109,8532,43422,33401,17883
mura:Akita:05204,Akita,05204,大館市,74175,34633,39542,28164,28242,7647,39755,26549,14670,69237,32551,36686,27959,28044,6479,35272,26998,14851
mura:Akita:05206,Akita,05206,男鹿市,28375,13301,15074,11106,11147,2206,14492,11664,6330,25154,11860,13294,10447,10492,1723,11474,11809,6282
mura:Akita:05207,Akita,05207,湯沢市,46613,22132,24481,16329,16384,4507,25403,16650,9543,42091,20115,21976,15620,15685,3613,21485,16926,9195
mura:Akita:05209,Akita,05209,鹿角市,32038,14939,17099,11463,11508,3439,16752,11793,6618,29088,13684,15404,10932,10978,2877,14259,11843,6521
mura:Akita:05210,Akita,05210,由利本荘市,79927,38162,41765,28232,28349,8551,44556,26427,14618,74707,35842,38865,28251,28362,7467,38918,27783,14516
mura:Akita:05211,Akita,05211,潟上市,33083,15547,17536,11987,12023,3720,18997,10340,5168,31720,14967,16753,12250,12287,3272,17095,11218,5637
mura:Akita:05212,Akita,05212,大仙市,82783,38563,44220,28126,28198,8725,45364,28659,16340,77657,36287,41370,28275,28370,7611,39751,29871,16022
mura:Akita:05213,Akita,05213,北秋田市,33224,15478,17746,12162,12222,2932,16723,13457,7741,30198,14157,16041,11727,11799,2437,14260,13438,7547
mura:Akita:05214,Akita,05214,にかほ市,25324,11981,13343,8783,8804,2805,13790,8706,4663,23435,11218,12217,8613,8635,2244,12041,9140,4803
mura:Akita:05215,Akita,05215,仙北市,27523,12758,14765,9561,9594,2740,14187,10563,5996,24610,11408,13202,9220,9252,2135,11845,10533,5646
mura:Akita:05303,Akita,05303,小坂町,5339,2489,2850,2154,2168,477,2631,2225,1241,4780,2232,2548,2029,2043,354,2281,2145,1227
mura:Akita:05327,Akita,05327,上小阿仁村,2381,1113,1268,913,918,141,1081,1159,741,2063,986,1077,825,830,117,839,1107,677
mura:Akita:05346,Akita,05346,藤里町,3359,1602,1757,1204,1215,269,1625,1465,835,2896,1380,1516,1117,1126,200,1283,1413,780
mura:Akita:05348,Akita,05348,三種町,17078,7824,9254,5980,6010,1453,8857,6766,3823,15254,7034,8220,5707,5740,1167,7151,6935,3815
mura:Akita:05349,Akita,05349,八峰町,7309,3429,3880,2696,2706,590,3673,3046,1678,6577,3071,3506,2605,2615,442,3098,3036,1659
mura:Akita:05361,Akita,05361,五城目町,9463,4392,5071,3564,3573,756,4752,3953,2221,8538,3985,4553,3336,3351,596,3896,4038,2261
mura:Akita:05363,Akita,05363,八郎潟町,6080,2787,3293,2210,2220,566,3222,2266,1254,5583,2534,3049,2134,2144,423,2678,2477,1331
mura:Akita:05366,Akita,05366,井川町,4986,2332,2654,1558,1563,461,2649,1875,1030,4566,2130,2436,1523,1528,332,2231,1977,1066
mura:Akita:05368,Akita,05368,大潟村,3110,1536,1574,792,796,429,1719,961,475,3011,1500,1511,835,839,350,1686,954,558
mura:Akita:05434,Akita,05434,美郷町,20279,9486,10793,6118,6152,2094,11024,7161,4160,18613,8701,9912,5965,5999,1770,9474,7367,3973
mura:Akita:05463,Akita,05463,羽後町,15319,7318,8001,4796,4807,1489,8432,5384,3233,13825,6637,7188,4648,4658,1286,7085,5437,2824
mura:Akita:05464,Akita,05464,東成瀬村,2610,1239,1371,806,809,265,1393,952,577,2704,1491,1213,790,1158,206,1455,1008,545
mura:Aomori:02201,Aomori,02201,青森市,287648,133560,154088,117852,118234,32528,168992,80297,38821,275192,128049,147143,118067,118483,28040,150122,84787,42083
mura:Aomori:02202,Aomori,02202,弘前市,177411,81367,96044,70913,71152,19410,105062,51830,26601,168466,77251,91215,70743,71022,17417,95115,53922,27960
mura:Aomori:02203,Aomori,02203,八戸市,231257,110493,120764,93519,93750,28122,136712,63614,30230,223415,106818,116597,95422,95671,25636,126567,69328,34454
mura:Aomori:02204,Aomori,02204,黒石市,34284,15834,18450,11719,11770,3864,20215,10178,5174,31946,14789,17157,11618,11661,3214,17723,10943,5403
mura:Aomori:02205,Aomori,02205,五所川原市,55181,24979,30202,21054,21143,6007,31606,17433,9367,51415,23252,28163,20797,20908,4852,27798,18363,9807
mura:Aomori:02206,Aomori,02206,十和田市,63429,30084,33345,25410,25487,7325,37028,18850,9368,60378,28685,31693,25462,25540,6398,33001,20320,10052
mura:Aomori:02207,Aomori,02207,三沢市,40196,19852,20344,16286,16367,5791,24779,9478,4938,39152,19602,19550,17164,17252,4994,23094,10385,5252
mura:Aomori:02208,Aomori,02208,むつ市,58493,28057,30436,24391,24475,7007,33885,17326,8510,54103,26104,27999,23996,24077,5714,29283,18249,8939
mura:Aomori:02209,Aomori,02209,つがる市,33316,15547,17769,10937,10984,3474,18309,11507,6563,30934,14363,16571,10764,10823,2903,16001,12002,6586
mura:Aomori:02210,Aomori,02210,平川市,32106,14876,17230,10090,10129,3634,18384,10085,5418,30567,14188,16379,10015,10049,3282,16504,10777,5649
mura:Aomori:02301,Aomori,02301,平内町,11142,5275,5867,3956,3971,1072,6123,3946,1972,10126,4818,5308,3783,3796,906,5050,4164,1981
mura:Aomori:02303,Aomori,02303,今別町,2756,1293,1463,1274,1277,139,1225,1392,813,2334,1119,1215,1124,1127,105,939,1290,721
mura:Aomori:02304,Aomori,02304,蓬田村,2896,1368,1528,953,959,291,1500,1080,608,2540,1211,1329,893,899,247,1216,1077,559
mura:Aomori:02307,Aomori,02307,外ヶ浜町,6198,2884,3314,2554,2577,437,2927,2832,1612,5401,2527,2874,2338,2358,285,2362,2750,1573
mura:Aomori:02321,Aomori,02321,鰺ヶ沢町,10126,4580,5546,3834,3851,851,5230,4021,2323,9044,4145,4899,3626,3643,701,4299,4034,2227
mura:Aomori:02323,Aomori,02323,深浦町,8429,3876,4553,3288,3304,667,3986,3776,2145,7346,3397,3949,3030,3047,481,3139,3726,2147
mura:Aomori:02343,Aomori,02343,西目屋村,1415,706,709,484,488,129,750,536,328,1265,589,676,435,437,151,613,501,291
mura:Aomori:02361,Aomori,02361,藤崎町,15179,6985,8194,4924,4942,1808,8739,4628,2546,14573,6748,7825,4938,4965,1679,8090,4797,2506
mura:Aomori:02362,Aomori,02362,大鰐町,9676,4385,5291,3408,3421,786,5133,3755,2010,8665,3934,4731,3211,3228,631,4262,3771,2007
mura:Aomori:02367,Aomori,02367,田舎館村,7783,3657,4126,2374,2382,890,4393,2491,1330,7326,3425,3901,2393,2401,836,3845,2639,1386
mura:Aomori:02381,Aomori,02381,板柳町,13935,6347,7588,4660,4680,1492,7700,4741,2578,12700,5806,6894,4459,4476,1205,6672,4822,2614
mura:Aomori:02384,Aomori,02384,鶴田町,13392,6235,7157,4368,4384,1508,7492,4392,2419,12074,5553,6521,4233,4256,1263,6236,4575,2497
mura:Aomori:02387,Aomori,02387,中泊町,11187,5224,5963,4102,4118,960,5921,4283,2338,9657,4432,5225,3855,3870,756,4612,4289,2288
mura:Aomori:02401,Aomori,02401,野辺地町,13524,6248,7276,5549,5565,1425,7513,4565,2371,12374,5776,6598,5414,5433,1102,6556,4713,2417
mura:Aomori:02402,Aomori,02402,七戸町,15709,7433,8276,5551,5572,1604,8419,5684,3030,14556,6964,7592,5424,5447,1406,7202,5943,3049
mura:Aomori:02405,Aomori,02405,六戸町,10423,4996,5427,3559,3570,1311,5790,3231,1731,10447,5084,5363,3829,3840,1394,5522,3531,1777
mura:Aomori:02406,Aomori,02406,横浜町,4535,2200,2335,1781,1785,446,2440,1649,909,4229,2071,2158,1809,1813,359,2179,1691,922
mura:Aomori:02408,Aomori,02408,東北町,17955,8506,9449,5941,5974,2008,9844,6050,3310,16428,7846,8582,5833,5871,1721,8396,6300,3353
mura:Aomori:02411,Aomori,02411,六ヶ所村,10536,5816,4720,4673,4683,1291,6714,2427,1278,10367,5910,4457,5167,5194,1065,6470,2618,1219
mura:Aomori:02412,Aomori,02412,おいらせ町,24222,11565,12657,8640,8658,3438,14755,5984,2866,24273,11627,12646,9243,9258,3308,13956,6671,3014
mura:Aomori:02423,Aomori,02423,大間町,5227,2650,2577,2149,2152,623,3007,1537,806,4718,2375,2343,2086,2090,501,2496,1711,838
mura:Aomori:02424,Aomori,02424,東通村,6607,3433,3174,2570,2578,761,3802,2044,1206,5955,3162,2793,2546,2559,633,3205,2117,1123
mura:Aomori:02425,Aomori,02425,風間浦村,1976,981,995,821,823,170,1032,774,403,1636,779,857,748,750,125,751,757,385
mura:Aomori:02426,Aomori,02426,佐井村,2148,1056,1092,904,906,191,1084,872,480,1788,883,905,823,826,124,802,858,458
mura:Aomori:02441,Aomori,02441,三戸町,10135,4753,5382,3748,3756,997,5332,3784,2061,9082,4288,4794,3559,3566,826,4412,3783,2045
mura:Aomori:02442,Aomori,02442,五戸町,17433,8286,9147,6110,6123,1689,9541,6191,3363,16042,7676,8366,6040,6059,1436,8139,6467,3375
mura:Aomori:02443,Aomori,02443,田子町,5554,2599,2955,1997,2006,516,2845,2192,1295,4968,2376,2592,1909,1918,417,2368,2182,1192
mura:Aomori:02445,Aomori,02445,南部町,18312,8524,9788,6391,6419,1869,9882,6557,3612,16809,7884,8925,6232,6263,1558,8525,6725,3572
mura:Aomori:02446,Aomori,02446,階上町,14025,6984,7041,5679,5699,1471,8599,3802,1929,13496,6827,6669,5836,5862,1276,7697,4281,2002
mura:Aomori:02450,Aomori,02450,新郷村,2509,1200,1309,828,831,206,1177,1126,682,2197,1069,1128,785,788,165,948,1084,615
