,feature,avg_rank
0,dw_bare_frac,3.0
1,age_u15,3.3333333333333335
2,viirs_mean_mean,8.833333333333334
3,viirs_mean_std,9.833333333333334
4,household_size,13.166666666666666
5,age_65_plus,13.833333333333334
6,pop_total,13.833333333333334
7,NDBI_slope,14.5
8,dw_water_frac,17.166666666666668
9,elevation_mean,17.5
10,dw_trees_frac,17.833333333333332
11,MNDWI_slope,20.166666666666668
12,B4_std,20.5
13,NDVI_seasonal_amp,21.833333333333332
14,NDBI_std,22.5
15,osm_built_ratio,22.5
16,tri_mean,22.5
17,dw_flooded_vegetation_frac,22.5
18,dw_built_frac,22.5
19,elevation_std,22.833333333333332
20,B4_mean,23.166666666666668
21,viirs_mean_slope,23.166666666666668
22,dw_grass_frac,24.166666666666668
23,B11_mean,24.5
24,NDVI_slope,24.5
25,slope_std,24.833333333333332
26,slope_mean,24.833333333333332
27,NDVI_mean,25.166666666666668
28,S2_NDBI_entropy_std,25.5
29,NDBI_mean,25.833333333333332
30,S2_NDBI_contrast_mean,26.166666666666668
31,MNDWI_mean,26.166666666666668
32,S2_NDBI_entropy_mean,27.5
33,B8_mean,29.5
34,dw_shrub_and_scrub_frac,29.833333333333332
35,B8_std,30.166666666666668
36,B11_std,30.166666666666668
37,S2_NDBI_contrast_std,31.166666666666668
38,MNDWI_seasonal_amp,31.166666666666668
39,dw_crops_frac,31.5
40,NDVI_std,32.5
41,osm_built_area,32.5
42,NDBI_seasonal_amp,33.5
43,MNDWI_std,35.833333333333336
44,aspect_sin_mean,38.5
45,aspect_cos_mean,38.5
