,feature,importance_mean,importance_std
0,viirs_mean_mean,0.2637878787878788,0.04177546555048296
1,age_u15,0.1400658761528327,0.025264905406983982
2,NDBI_slope,0.03840579710144933,0.020199072267777323
3,household_size,0.006666666666666643,0.00816496580927723
4,B8_mean,0.0,0.0
5,B11_std,0.0,0.0
6,B11_mean,0.0,0.0
7,NDVI_mean,0.0,0.0
8,B8_std,0.0,0.0
9,B4_std,0.0,0.0
10,B4_mean,0.0,0.0
11,NDBI_std,0.0,0.0
12,NDBI_mean,0.0,0.0
13,NDVI_std,0.0,0.0
14,viirs_mean_std,0.0,0.0
15,S2_NDBI_entropy_mean,0.0,0.0
16,S2_NDBI_entropy_std,0.0,0.0
17,S2_NDBI_contrast_std,0.0,0.0
18,S2_NDBI_contrast_mean,0.0,0.0
19,viirs_mean_slope,0.0,0.0
20,NDVI_slope,0.0,0.0
21,NDBI_seasonal_amp,0.0,0.0
22,NDVI_seasonal_amp,0.0,0.0
23,pop_total,0.0,0.0
24,age_65_plus,0.0,0.0
25,osm_built_area,0.0,0.0
26,osm_built_ratio,0.0,0.0
