,feature,importance
0,viirs_mean_mean,0.18397331720045823
1,viirs_mean_std,0.16831745885217916
2,NDBI_slope,0.13544517045592153
3,age_u15,0.11163488086099214
4,household_size,0.07413959615414359
5,age_65_plus,0.0735494615054253
6,NDVI_mean,0.029691923846999587
7,B4_std,0.024579422672403622
8,S2_NDBI_entropy_std,0.02361614129700849
9,osm_built_ratio,0.022675869397404007
10,NDVI_seasonal_amp,0.019564989259466977
11,NDBI_mean,0.019344000890112435
12,S2_NDBI_entropy_mean,0.017645663842233816
13,B8_std,0.015300739604957704
14,viirs_mean_slope,0.012353018318417914
15,B4_mean,0.011515958691909444
16,NDBI_std,0.01066977597031986
17,S2_NDBI_contrast_std,0.010293585013723612
18,osm_built_area,0.008402573288297539
19,B11_mean,0.006499566786648148
20,NDBI_seasonal_amp,0.004344008234229364
21,NDVI_std,0.004281478430226532
22,S2_NDBI_contrast_mean,0.0038289178703976466
23,NDVI_slope,0.0034129301600565975
24,pop_total,0.0027017113990673108
25,B8_mean,0.002199521390755274
26,B11_std,1.8318606243986754e-05
