,feature,importance
0,viirs_mean_mean,0.12883704972736948
1,viirs_mean_std,0.11708680263511054
2,age_u15,0.10775713737369992
3,pop_total,0.07901524372102232
4,household_size,0.060134245112827986
5,age_65_plus,0.05678595084866769
6,NDBI_slope,0.04123673013241682
7,NDVI_seasonal_amp,0.0312922632111575
8,B4_mean,0.029711426303549376
9,viirs_mean_slope,0.028777969740985315
10,NDBI_std,0.02715671490597414
11,osm_built_ratio,0.025313982569793864
12,B4_std,0.022359379937595274
13,S2_NDBI_contrast_std,0.021163213075924642
14,NDBI_mean,0.02081724065066071
15,NDVI_std,0.020721745157049845
16,S2_NDBI_contrast_mean,0.0204685641547131
17,B8_std,0.020058875491709066
18,B11_std,0.019654233017176906
19,NDVI_mean,0.019389582621631235
20,B11_mean,0.019086222520183785
21,NDBI_seasonal_amp,0.015836899719345952
22,B8_mean,0.015700860006933274
23,NDVI_slope,0.01424634247400109
24,S2_NDBI_entropy_mean,0.014009439954816643
25,S2_NDBI_entropy_std,0.013352992382285045
26,osm_built_area,0.010028892553398429
