,feature,importance
0,viirs_mean_mean,0.12351393
1,household_size,0.06590483
2,NDVI_mean,0.056757744
3,NDVI_std,0.053953186
4,viirs_mean_slope,0.05157992
5,age_u15,0.049300205
6,B8_mean,0.04780939
7,viirs_mean_std,0.047707673
8,age_65_plus,0.04732114
9,B11_std,0.046439145
10,B4_std,0.04623689
11,osm_built_ratio,0.042286314
12,NDBI_slope,0.039502505
13,NDVI_seasonal_amp,0.0377729
14,S2_NDBI_entropy_mean,0.036213737
15,S2_NDBI_entropy_std,0.035031583
16,NDBI_mean,0.028161602
17,B4_mean,0.027416663
18,osm_built_area,0.024423292
19,pop_total,0.015088118
20,NDBI_std,0.014694747
21,S2_NDBI_contrast_std,0.013485721
22,NDVI_slope,0.012039203
23,B8_std,0.010739135
24,NDBI_seasonal_amp,0.009624758
25,B11_mean,0.008922774
26,S2_NDBI_contrast_mean,0.0080729285
