,feature,f_statistic,p_value,is_leaky,is_partially_leaky
0,elderly_ratio,134.91406682126143,2.6051518266730606e-23,True,False
1,youth_ratio,68.49831027962627,1.9949207153182878e-16,True,False
2,aging_index,63.65971137801652,9.356039667077183e-16,True,False
3,age_u15,18.474634128964684,5.085716894849917e-07,False,True
4,viirs_mean_mean,17.107543056558544,1.2122829994700957e-06,False,False
5,pop_total,11.902154409065341,4.2204655423449236e-05,False,True
6,viirs_mean_std,11.738684055192271,4.750693216562751e-05,False,False
7,age_65_plus,7.638206193876331,0.001083145699190496,False,True
8,NDBI_seasonal_amp,5.9841357527747014,0.004204678538041037,False,False
9,viirs_mean_slope,5.939479432551741,0.004365144367911665,False,False
10,NDBI_slope,5.185632993059304,0.008271630221346523,False,False
11,NDBI_std,4.835005963960816,0.011186148881289538,False,False
12,B4_mean,4.160393113415699,0.020162627376561142,False,False
13,B4_std,4.120720140934849,0.020880780301033693,False,False
14,B11_mean,4.095154043812933,0.021357517238679312,False,False
15,B8_std,3.373810819153386,0.04065878093763086,False,False
16,household_size,3.3280266887991194,0.042373905576660244,False,False
17,B8_mean,3.0722965362344246,0.05342799759045347,False,False
18,B11_std,2.0219726814992156,0.14103246011580084,False,False
19,NDVI_seasonal_amp,1.6840969913462818,0.19399087404793,False,False
20,osm_built_area,1.5403358034380543,0.22239732914708654,False,False
21,osm_built_ratio,1.37321276779361,0.2608871324938653,False,False
22,S2_NDBI_entropy_std,1.3261558853085615,0.27292075213176414,False,False
23,NDBI_mean,1.0744532361419117,0.34775660909612566,False,False
24,S2_NDBI_contrast_mean,0.6946023658593475,0.5031158207630814,False,False
25,S2_NDBI_entropy_mean,0.6749879743218761,0.5128640883142621,False,False
26,S2_NDBI_contrast_std,0.6310031146984996,0.5354397339470254,False,False
27,NDVI_mean,0.563790703261833,0.5719376747460285,False,False
28,NDVI_slope,0.5116718963570767,0.6020016563174108,False,False
29,NDVI_std,0.4279804769920012,0.6537350849050683,False,False
