,model,display_name,is_baseline,balanced_accuracy,balanced_accuracy_std,accuracy,accuracy_std,f1_weighted,f1_weighted_std,f1_macro,f1_macro_std,precision_weighted,precision_weighted_std,recall_weighted,recall_weighted_std,cohen_kappa,cohen_kappa_std,matthews_corrcoef,matthews_corrcoef_std,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper
0,svm_linear,SVM (Linear),False,0.662,0.13990075847622205,0.6646153846153845,0.14023086065513146,0.6549797894413278,0.14207918609597872,0.6535571835571835,0.1412612449240168,0.7014945054945055,0.13870427102441102,0.6646153846153845,0.14023086065513146,0.4929025469248787,0.21078169886616824,0.509373577998122,0.2120197533293056,0.3466666666666667,0.8733333333333332
1,logistic_regression,Logistic Regression,False,0.6439999999999999,0.1286396056747227,0.6492307692307692,0.12963307343348243,0.6372817951279489,0.13043770317025788,0.635077219077219,0.12957951765509143,0.690997557997558,0.1358212773697067,0.6492307692307692,0.12963307343348243,0.46843544523608216,0.19528698626414606,0.489284321199843,0.19960452883469465,0.4166666666666667,0.8333333333333334
2,random_forest,Random Forest,False,0.614,0.1339983416149452,0.6184615384615385,0.13594580658268268,0.609538615230923,0.13596567258698813,0.6054675694675694,0.13533756226997498,0.6440818070818071,0.1393451740939313,0.6184615384615385,0.13594580658268268,0.4244290461026124,0.20305518359683128,0.43922806105776835,0.20469367976103064,0.34,0.84
3,xgboost,XGBoost,False,0.6019999999999999,0.12768595734732816,0.6061538461538462,0.13008872711759817,0.5976867576867576,0.12970171183059123,0.5936875716875716,0.12837395577220967,0.6471477411477412,0.13585132886898488,0.6061538461538462,0.13008872711759817,0.4056477337141196,0.19495002569836278,0.4226299236177081,0.1992094918340447,0.3433333333333333,0.7933333333333332
4,knn,K-Nearest Neighbors,False,0.6,0.10194860724168092,0.6092307692307692,0.1015656529248121,0.5916414696414697,0.10942936555663216,0.586010582010582,0.11163265487737428,0.65207326007326,0.14343430369507196,0.6092307692307692,0.1015656529248121,0.4059621445502258,0.1535870890152584,0.4287653997574347,0.16061724044060366,0.37,0.7566666666666666
5,svm_rbf,SVM (RBF),False,0.5993333333333333,0.12679087477388082,0.6061538461538462,0.12427303401079624,0.5907821067821069,0.1322482727606379,0.584051948051948,0.13353215619038453,0.6238046398046398,0.15809640800490368,0.6061538461538462,0.12427303401079624,0.4043999929528333,0.1893731937016041,0.42269836240645264,0.1962789570508945,0.35333333333333333,0.7999999999999998
6,gradient_boosting,Gradient Boosting,False,0.5973333333333332,0.10999579116527174,0.6030769230769232,0.11252876029482918,0.599030303030303,0.10765447381108181,0.592922558922559,0.10594013061787055,0.630007326007326,0.11202629244664285,0.6030769230769232,0.11252876029482918,0.4015858759878323,0.16827817183158,0.4135654807823462,0.17205222068799444,0.37666666666666665,0.7266666666666666
7,mlp,MLP Neural Network,False,0.45666666666666667,0.1253698232932973,0.4584615384615385,0.13411996749355917,0.4103746424515655,0.15390880492668463,0.40945199245199243,0.14853944681207087,0.43154800754800754,0.18345548960274313,0.4584615384615385,0.13411996749355917,0.18485964714252334,0.19327280878706699,0.20409325886243895,0.2096212237213201,0.24333333333333332,0.6833333333333332
8,dummy_stratified,Dummy (Stratified),True,0.3493333333333333,0.15623462887356074,0.3476923076923077,0.1540383414961599,0.33744566544566545,0.15009576328005855,0.3351957671957672,0.15015747482923014,0.34435897435897433,0.15476178735789664,0.3476923076923077,0.1540383414961599,0.024424778761061958,0.2303759266623984,0.02509505737713912,0.2366980333562343,0.04000000000000001,0.5833333333333331
9,dummy_most_frequent,Dummy (Most Frequent),True,0.33333333333333337,5.665583147960493e-17,0.3538461538461539,0.038461538461538464,0.1861236802413273,0.03443941679235797,0.17385620915032682,0.014161220043572995,0.12662721893491125,0.026627218934911243,0.3538461538461539,0.038461538461538464,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
