,model,class,precision,recall,f1_score,support
0,Dummy (Most Frequent),stable,0.0,0.0,0.0,100.0
1,Dummy (Most Frequent),shrinking,0.35384615384615387,1.0,0.5227272727272727,115.0
2,Dummy (Most Frequent),severely_shrinking,0.0,0.0,0.0,110.0
3,Dummy (Stratified),stable,0.25333333333333335,0.19,0.21714285714285714,100.0
4,Dummy (Stratified),shrinking,0.35833333333333334,0.3739130434782609,0.3659574468085106,115.0
5,Dummy (Stratified),severely_shrinking,0.3923076923076923,0.4636363636363636,0.425,110.0
6,Logistic Regression,stable,0.5978260869565217,0.55,0.5729166666666666,100.0
7,Logistic Regression,shrinking,0.5431034482758621,0.5478260869565217,0.5454545454545454,115.0
8,Logistic Regression,severely_shrinking,0.7948717948717948,0.8454545454545455,0.8193832599118943,110.0
9,SVM (Linear),stable,0.5617977528089888,0.5,0.5291005291005291,100.0
10,SVM (Linear),shrinking,0.5267175572519084,0.6,0.5609756097560976,115.0
11,SVM (Linear),severely_shrinking,0.819047619047619,0.7818181818181819,0.8,110.0
12,SVM (RBF),stable,0.5542168674698795,0.46,0.5027322404371585,100.0
13,SVM (RBF),shrinking,0.5798319327731093,0.6,0.5897435897435898,115.0
14,SVM (RBF),severely_shrinking,0.6422764227642277,0.7181818181818181,0.6781115879828327,110.0
15,Random Forest,stable,0.5529411764705883,0.47,0.5081081081081081,100.0
16,Random Forest,shrinking,0.5645161290322581,0.6086956521739131,0.5857740585774058,115.0
17,Random Forest,severely_shrinking,0.7413793103448276,0.7818181818181819,0.7610619469026548,110.0
18,Gradient Boosting,stable,0.5698924731182796,0.53,0.5492227979274611,100.0
19,Gradient Boosting,shrinking,0.6153846153846154,0.6260869565217392,0.6206896551724138,115.0
20,Gradient Boosting,severely_shrinking,0.7391304347826086,0.7727272727272727,0.7555555555555555,110.0
21,K-Nearest Neighbors,stable,0.6666666666666666,0.38,0.4840764331210191,100.0
22,K-Nearest Neighbors,shrinking,0.6165413533834586,0.7130434782608696,0.6612903225806451,115.0
23,K-Nearest Neighbors,severely_shrinking,0.6518518518518519,0.8,0.7183673469387755,110.0
24,MLP Neural Network,stable,0.5185185185185185,0.28,0.36363636363636365,100.0
25,MLP Neural Network,shrinking,0.43548387096774194,0.23478260869565218,0.3050847457627119,115.0
26,MLP Neural Network,severely_shrinking,0.45454545454545453,0.8636363636363636,0.5956112852664577,110.0
27,XGBoost,stable,0.5520833333333334,0.53,0.5408163265306123,100.0
28,XGBoost,shrinking,0.6017699115044248,0.591304347826087,0.5964912280701754,115.0
29,XGBoost,severely_shrinking,0.7413793103448276,0.7818181818181819,0.7610619469026548,110.0
