,feature,score,p_value,rank
0,age_u15,18.47463412896469,5.085716894849896e-07,1
1,viirs_mean_mean,17.092196693376184,1.2243327143998327e-06,2
2,pop_total,11.902154409065336,4.2204655423449364e-05,3
3,viirs_mean_std,11.488781701007195,5.6978350652781993e-05,4
4,age_65_plus,7.638206193876337,0.0010831456991904932,5
5,NDBI_seasonal_amp,5.528690351122179,0.006173839712050279,6
6,viirs_mean_slope,5.2826198135691556,0.007612980694622825,7
7,NDBI_std,5.251568778954141,0.007817745785237662,8
8,B4_mean,4.2891498284968455,0.01800260878356056,9
9,B4_std,4.248883351227572,0.018651176811840524,10
10,B11_mean,4.245621193589481,0.018704765209334763,11
11,household_size,3.3280266887991194,0.042373905576660244,12
12,B8_std,3.315910311987261,0.04284017756610129,13
13,B8_mean,3.052982030949626,0.054375452346586764,14
14,NDBI_slope,2.9921216813177804,0.05747593624902416,15
15,B11_std,2.212028972595634,0.11804697360963767,16
16,osm_built_area,1.493288206450272,0.23259960182320394,17
17,NDVI_seasonal_amp,1.474196483886892,0.23687633436508068,18
18,osm_built_ratio,1.3650896545574989,0.2629246246625427,19
19,NDBI_mean,0.9976900114672846,0.3745718024414768,20
20,NDVI_slope,0.9342608944823696,0.39833600975568717,21
21,S2_NDBI_contrast_std,0.8782858730539491,0.42059946962507144,22
22,S2_NDBI_entropy_std,0.6999751398364562,0.500479091096599,23
23,S2_NDBI_contrast_mean,0.6903137260672824,0.5052307924247263,24
24,S2_NDBI_entropy_mean,0.6372829545541914,0.5321547809665254,25
25,NDVI_mean,0.6156007147920027,0.5435855813644851,26
26,NDVI_std,0.39734239214975964,0.6738030123790519,27
