,feature,avg_rank
0,age_u15,1.8
1,age_65_plus,2.4
2,pop_total,3.6
3,viirs_mean_std,6.2
4,household_size,8.8
5,elevation_std,10.6
6,viirs_mean_mean,11.4
7,tri_mean,11.8
8,NDBI_std,13.0
9,B8_mean,16.8
10,osm_built_ratio,17.6
11,MNDWI_mean,17.6
12,NDBI_slope,18.0
13,dw_built_frac,18.2
14,NDVI_seasonal_amp,18.4
15,elevation_mean,20.0
16,dw_trees_frac,20.0
17,S2_NDBI_contrast_std,21.2
18,MNDWI_slope,23.4
19,dw_crops_frac,23.4
20,MNDWI_std,23.8
21,B11_mean,24.2
22,NDBI_mean,24.6
23,S2_NDBI_entropy_std,25.0
24,dw_bare_frac,26.0
25,S2_NDBI_contrast_mean,26.0
26,dw_shrub_and_scrub_frac,26.2
27,B4_mean,27.2
28,B4_std,27.2
29,dw_grass_frac,27.8
30,viirs_mean_slope,28.0
31,NDBI_seasonal_amp,28.2
32,osm_built_area,28.4
33,MNDWI_seasonal_amp,28.6
34,dw_water_frac,30.8
35,dw_flooded_vegetation_frac,31.0
36,B8_std,32.2
37,NDVI_std,32.6
38,NDVI_mean,33.0
39,B11_std,33.8
40,S2_NDBI_entropy_mean,34.0
41,NDVI_slope,39.0
42,slope_std,39.2
43,aspect_sin_mean,39.4
44,aspect_cos_mean,40.2
45,slope_mean,40.4
