,feature,importance_mean,importance_std
0,pop_total,0.6676237938396905,0.004497696496593433
1,age_65_plus,0.5440066597338863,0.0036883556510965065
2,B4_mean,0.1853589470224574,0.004654477878754045
3,B8_mean,0.1624088654146592,0.004325445156855275
4,age_u15,0.09803823330321684,0.0023024357257178884
5,MNDWI_std,0.07270094349525069,0.00203243864586977
6,NDVI_std,0.045233254436269674,0.0022627102679222133
7,B11_std,0.0431111198755774,0.0017342657026233528
8,NDBI_slope,0.04173879590310593,0.001756478411076621
9,MNDWI_slope,0.035281590735746625,0.0015536493287033062
10,NDVI_slope,0.034351830180402575,0.0018129410351729613
11,B4_std,0.03416560657877919,0.0009424878975329403
12,NDBI_mean,0.03247357797486152,0.0019824110142213
13,NDVI_mean,0.03013780123961197,0.0012609511469220428
14,NDBI_std,0.027158901215536036,0.0018045304515161974
15,MNDWI_mean,0.02470921340005804,0.0013814180022595414
16,dw_built_frac,0.023979011530105822,0.001689400348852551
17,NDBI_seasonal_amp,0.023214555895335255,0.0016105538687088087
18,aspect_cos_mean,0.023208542010953636,0.0015519269457943644
19,slope_mean,0.02250101514106858,0.0017222517945445677
20,tri_mean,0.022319654654506072,0.0011145965654400496
21,B8_std,0.02163394762487547,0.0013849855170541422
22,elevation_mean,0.021285852935046513,0.0013321442327225792
23,viirs_mean_std,0.02059110962040659,0.0023113022999280306
24,dw_trees_frac,0.02023443836490174,0.0008706626590964772
25,viirs_mean_slope,0.019990711705531537,0.0015500506941012338
26,B11_mean,0.019562106926747324,0.0011285784355438164
27,household_size,0.01941459106800264,0.0011795439437348105
28,dw_flooded_vegetation_frac,0.01750202328350874,0.0007376618746235138
29,elevation_std,0.016816980414226503,0.0011030138501975635
30,osm_built_area,0.015886420505040365,0.0010307868503451065
31,S2_NDBI_contrast_mean,0.01541610915122712,0.0014432133298418097
32,S2_NDBI_contrast_std,0.015214248449940482,0.001639011636501566
33,MNDWI_seasonal_amp,0.014895540879500613,0.0010946150104825711
34,dw_crops_frac,0.014599845825415536,0.0010380880889277982
35,NDVI_seasonal_amp,0.014304637870631621,0.0017468404242642808
36,viirs_mean_mean,0.013696482409382182,0.0016929355099177916
37,S2_NDBI_entropy_std,0.013258158892702177,0.0011175904014925672
38,dw_water_frac,0.012781424785553153,0.001139872558719885
39,dw_grass_frac,0.012383263392748756,0.0014854757077759524
40,dw_bare_frac,0.011811613424077027,0.001287519044727551
41,aspect_sin_mean,0.011420875179851553,0.0009885460529165753
42,S2_NDBI_entropy_mean,0.011385480301923578,0.0010249169750382791
43,dw_shrub_and_scrub_frac,0.010843075067656149,0.0012604545840340683
44,osm_built_ratio,0.00953076005413499,0.0008041824199205545
45,slope_std,3.9138624333201474e-05,0.0001600792875753124
