,feature,importance
0,age_u15,0.09481902057952514
1,age_65_plus,0.0675146305830499
2,viirs_mean_mean,0.052917656126671486
3,pop_total,0.051366089875939484
4,household_size,0.04781992429219163
5,viirs_mean_std,0.0474150967702093
6,dw_built_frac,0.03534861091675375
7,dw_trees_frac,0.028612040829490714
8,elevation_std,0.027469445178790682
9,tri_mean,0.026742550042627523
10,dw_shrub_and_scrub_frac,0.026110305247145336
11,viirs_mean_slope,0.021115068182865508
12,dw_grass_frac,0.020184554032050214
13,S2_NDBI_contrast_mean,0.019426036457599164
14,osm_built_ratio,0.01921967301282645
15,dw_crops_frac,0.018976544268512273
16,S2_NDBI_contrast_std,0.0188440042002606
17,elevation_mean,0.018700375154732215
18,dw_bare_frac,0.01820980686717422
19,osm_built_area,0.018135407023852915
20,dw_water_frac,0.01748762686285761
21,dw_flooded_vegetation_frac,0.017484235048390105
22,S2_NDBI_entropy_std,0.017447628706771287
23,NDBI_std,0.016944727900136264
24,S2_NDBI_entropy_mean,0.01663323848293431
25,NDBI_slope,0.01527319832772031
26,MNDWI_mean,0.015030817463099222
27,NDBI_seasonal_amp,0.014867627573517258
28,B8_mean,0.014156883821367417
29,NDVI_seasonal_amp,0.014103090860877932
30,B11_std,0.01398745355644079
31,MNDWI_slope,0.01392679186401323
32,NDBI_mean,0.013883620850827609
33,B4_mean,0.01385955021779254
34,B11_mean,0.013792914645759166
35,NDVI_std,0.013341413292236315
36,MNDWI_seasonal_amp,0.013246132572526652
37,MNDWI_std,0.013012275494812167
38,B4_std,0.012905421290435686
39,NDVI_mean,0.012610988203590913
40,NDVI_slope,0.012491347564216377
41,B8_std,0.012073793553219778
42,aspect_cos_mean,0.0009570127332953676
43,slope_mean,0.000772477044202282
44,aspect_sin_mean,0.000749899337233359
45,slope_std,1.2993089457505742e-05
