,feature,importance
0,viirs_mean_std,0.18723185
1,age_u15,0.09174444
2,viirs_mean_mean,0.088059045
3,tri_mean,0.06707169
4,age_65_plus,0.047339715
5,pop_total,0.045502897
6,NDBI_slope,0.032859974
7,household_size,0.031317335
8,elevation_std,0.026479736
9,NDVI_seasonal_amp,0.024484785
10,S2_NDBI_entropy_std,0.023655847
11,S2_NDBI_contrast_std,0.02233098
12,B11_mean,0.020994008
13,NDBI_std,0.020056061
14,MNDWI_mean,0.017484661
15,B8_mean,0.01669996
16,MNDWI_std,0.015610435
17,elevation_mean,0.015310612
18,dw_built_frac,0.015222135
19,dw_trees_frac,0.014352279
20,MNDWI_seasonal_amp,0.01202798
21,NDBI_seasonal_amp,0.011250979
22,B4_std,0.011200589
23,MNDWI_slope,0.010891858
24,dw_crops_frac,0.010861022
25,NDBI_mean,0.010332922
26,osm_built_ratio,0.010266164
27,slope_std,0.010093232
28,B8_std,0.008881933
29,S2_NDBI_contrast_mean,0.008014048
30,NDVI_std,0.0079733245
31,dw_bare_frac,0.007101012
32,B4_mean,0.0062250323
33,NDVI_slope,0.005911432
34,dw_grass_frac,0.0058710934
35,S2_NDBI_entropy_mean,0.0056695845
36,dw_shrub_and_scrub_frac,0.0056519215
37,B11_std,0.005332964
38,dw_flooded_vegetation_frac,0.005131935
39,osm_built_area,0.0049903155
40,viirs_mean_slope,0.0049661035
41,NDVI_mean,0.0043482077
42,dw_water_frac,0.003197856
43,aspect_sin_mean,0.0
44,slope_mean,0.0
45,aspect_cos_mean,0.0
