,model,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,cohen_kappa,matthews_corrcoef
0,Dummy (Most Frequent),0.3333333333333333,0.3263707571801567,0.1606155301083448,0.16404199475065617,0.10651787114234879,0.3263707571801567,0.0,0.0
1,Dummy (Most Frequent),0.3333333333333333,0.3282894736842105,0.16227483642240817,0.1647680369820043,0.10777397853185595,0.3282894736842105,0.0,0.0
2,Dummy (Most Frequent),0.3333333333333333,0.35221843003412967,0.1834878444195971,0.1736496718828874,0.1240578224557071,0.35221843003412967,0.0,0.0
3,Dummy (Most Frequent),0.3333333333333333,0.3398123324396783,0.17237103806594986,0.16908454227113556,0.11547242127809443,0.3398123324396783,0.0,0.0
4,Dummy (Most Frequent),0.3333333333333333,0.30298818624044477,0.14090970581422285,0.15502222222222223,0.09180184100127445,0.30298818624044477,0.0,0.0
5,Dummy (Most Frequent),0.3333333333333333,0.3263707571801567,0.1606155301083448,0.16404199475065617,0.10651787114234879,0.3263707571801567,0.0,0.0
6,Dummy (Most Frequent),0.3333333333333333,0.3282894736842105,0.16227483642240817,0.1647680369820043,0.10777397853185595,0.3282894736842105,0.0,0.0
7,Dummy (Most Frequent),0.3333333333333333,0.35221843003412967,0.1834878444195971,0.1736496718828874,0.1240578224557071,0.35221843003412967,0.0,0.0
8,Dummy (Most Frequent),0.3333333333333333,0.3398123324396783,0.17237103806594986,0.16908454227113556,0.11547242127809443,0.3398123324396783,0.0,0.0
9,Dummy (Most Frequent),0.3333333333333333,0.30298818624044477,0.14090970581422285,0.15502222222222223,0.09180184100127445,0.30298818624044477,0.0,0.0
10,Dummy (Most Frequent),0.3333333333333333,0.3263707571801567,0.1606155301083448,0.16404199475065617,0.10651787114234879,0.3263707571801567,0.0,0.0
11,Dummy (Most Frequent),0.3333333333333333,0.3282894736842105,0.16227483642240817,0.1647680369820043,0.10777397853185595,0.3282894736842105,0.0,0.0
12,Dummy (Most Frequent),0.3333333333333333,0.35221843003412967,0.1834878444195971,0.1736496718828874,0.1240578224557071,0.35221843003412967,0.0,0.0
13,Dummy (Most Frequent),0.3333333333333333,0.3398123324396783,0.17237103806594986,0.16908454227113556,0.11547242127809443,0.3398123324396783,0.0,0.0
14,Dummy (Most Frequent),0.3333333333333333,0.30298818624044477,0.14090970581422285,0.15502222222222223,0.09180184100127445,0.30298818624044477,0.0,0.0
15,Dummy (Most Frequent),0.3333333333333333,0.3263707571801567,0.1606155301083448,0.16404199475065617,0.10651787114234879,0.3263707571801567,0.0,0.0
16,Dummy (Most Frequent),0.3333333333333333,0.32940406024885394,0.16324161803465373,0.1651888341543514,0.10850703490843061,0.32940406024885394,0.0,0.0
17,Dummy (Most Frequent),0.3333333333333333,0.3510928961748634,0.18246890660655185,0.17323896191439161,0.1232662217444534,0.3510928961748634,0.0,0.0
18,Dummy (Most Frequent),0.3333333333333333,0.33983849259757737,0.17239421271901215,0.16909425749204754,0.11549020105099364,0.33983849259757737,0.0,0.0
19,Dummy (Most Frequent),0.3333333333333333,0.30298818624044477,0.14090970581422285,0.15502222222222223,0.09180184100127445,0.30298818624044477,0.0,0.0
20,Dummy (Most Frequent),0.3333333333333333,0.3263707571801567,0.1606155301083448,0.16404199475065617,0.10651787114234879,0.3263707571801567,0.0,0.0
21,Dummy (Most Frequent),0.3333333333333333,0.32940406024885394,0.16324161803465373,0.1651888341543514,0.10850703490843061,0.32940406024885394,0.0,0.0
22,Dummy (Most Frequent),0.3333333333333333,0.3497942386831276,0.18129579443942587,0.17276422764227642,0.12235600941590882,0.3497942386831276,0.0,0.0
23,Dummy (Most Frequent),0.3333333333333333,0.34157754010695185,0.17393734229661426,0.16973924597242984,0.1166752159055163,0.34157754010695185,0.0,0.0
24,Dummy (Most Frequent),0.3333333333333333,0.3024390243902439,0.14045857312505708,0.1548064918851436,0.09146936347412254,0.3024390243902439,0.0,0.0
25,Dummy (Stratified),0.3355431576970038,0.33550913838120106,0.33539267138266865,0.3353671551065945,0.3354090737284361,0.33550913838120106,0.0032212376710962776,0.0032218739684116457
26,Dummy (Stratified),0.3359167031810138,0.3355263157894737,0.33546876096238276,0.335471281771545,0.33619615298677086,0.3355263157894737,0.003841362126245751,0.0038457515817672365
