,feature,f_statistic,p_value,is_leaky,is_partially_leaky
0,elderly_ratio,7079.075441680023,0.0,True,False
1,youth_ratio,1258.3991595820473,0.0,True,False
2,viirs_mean_mean,1188.7318618368913,0.0,False,False
3,age_u15,1059.513986497577,0.0,False,True
4,aging_index,960.8968498317539,0.0,True,False
5,dw_built_frac,890.5749748980461,0.0,False,False
6,dw_trees_frac,675.7954070010859,2.0231797545330027e-270,False,False
7,pop_total,596.5907513986375,4.833352339411289e-241,False,True
8,viirs_mean_std,585.1918108871175,9.048561551053621e-237,False,False
9,tri_mean,551.4282315035402,4.7626542948305705e-224,False,False
10,dw_shrub_and_scrub_frac,507.18521225359086,3.165848519263977e-207,False,False
11,S2_NDBI_contrast_mean,441.6404562970205,5.6105508508537165e-182,False,False
12,dw_grass_frac,325.4603303705415,3.1279672708423852e-136,False,False
13,S2_NDBI_contrast_std,300.8439009969824,2.2725116246450027e-126,False,False
14,elevation_std,225.118390071271,1.1872676160052329e-95,False,False
15,elevation_mean,216.32629234283212,4.77723398244754e-92,False,False
16,osm_built_ratio,213.09100697576582,1.0177013968411077e-90,False,False
17,dw_crops_frac,181.95607032937508,7.048249330314736e-78,False,False
18,S2_NDBI_entropy_std,175.1619109312952,4.609886554665762e-75,False,False
19,dw_flooded_vegetation_frac,174.69839115447834,7.177266886101802e-75,False,False
20,viirs_mean_slope,163.54422978417193,3.087700136146365e-70,False,False
21,NDBI_slope,128.3805211290432,1.5308405341393168e-55,False,False
22,S2_NDBI_entropy_mean,117.57411746614261,5.34574692155527e-51,False,False
23,age_65_plus,73.45031593973171,2.5796515237175016e-32,False,True
24,MNDWI_mean,69.8579781577299,8.754470734977039e-31,False,False
25,B4_std,61.14258378992651,4.590182909377422e-27,False,False
26,MNDWI_slope,60.97693077472676,5.4027038993463196e-27,False,False
27,MNDWI_std,59.9877287888837,1.4300380970762663e-26,False,False
28,MNDWI_seasonal_amp,51.223998004306075,8.042150846842542e-23,False,False
29,NDVI_mean,51.03207869637026,9.718347581103236e-23,False,False
30,NDVI_std,47.93402872620549,2.0673209626419664e-21,False,False
31,NDBI_std,46.271680877317344,1.067420039692114e-20,False,False
32,B11_mean,42.021610797080385,7.120069060369638e-19,False,False
33,B8_std,41.07350363676713,1.818431452557275e-18,False,False
34,NDVI_seasonal_amp,40.7630989832375,2.4719418729762456e-18,False,False
35,household_size,40.18225696453122,4.391183561579815e-18,False,False
36,B8_mean,39.60908064579298,7.742288153284974e-18,False,False
37,NDBI_seasonal_amp,38.411445781417015,2.5328027495008678e-17,False,False
38,B11_std,38.29758279964107,2.8349612334993647e-17,False,False
39,B4_mean,36.48326159909271,1.7086811155446922e-16,False,False
40,osm_built_area,19.80919973648039,2.6289564011672214e-09,False,False
41,NDBI_mean,18.47987705337711,9.866133481674383e-09,False,False
42,dw_water_frac,15.75270313098958,1.4897816498254706e-07,False,False
43,aspect_sin_mean,9.474536907153242,7.771206830592932e-05,False,False
44,slope_std,8.791346506171458,0.0001536272019462351,False,False
45,dw_bare_frac,8.539031539923242,0.00019760259064341597,False,False
46,slope_mean,7.443071010897705,0.0005898514853612098,False,False
47,NDVI_slope,6.053428996358192,0.002361372256210134,False,False
48,aspect_cos_mean,0.037733100419946757,0.9629701070212966,False,False
