,model,display_name,is_baseline,balanced_accuracy,balanced_accuracy_std,accuracy,accuracy_std,f1_weighted,f1_weighted_std,f1_macro,f1_macro_std,precision_weighted,precision_weighted_std,recall_weighted,recall_weighted_std,cohen_kappa,cohen_kappa_std,matthews_corrcoef,matthews_corrcoef_std,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper
0,svm_linear,SVM (Linear),False,0.9150296270580077,0.018854343909365315,0.9152390162425906,0.01892918678664558,0.9155409142160141,0.01863965135967398,0.9158477459707529,0.018213608524621096,0.9170006967455402,0.017950795295738065,0.9152390162425906,0.01892918678664558,0.8726435604092778,0.02854518531591538,0.8732059024179837,0.028326712590188888,0.885951397912407,0.9441094675451961
1,logistic_regression,Logistic Regression,False,0.9125247292838157,0.007067403439727013,0.9129933211146181,0.0065410175530375885,0.9136215166665888,0.006334830902843397,0.9138887786314533,0.005747405338505623,0.9162918248425491,0.005415680960789851,0.9129933211146181,0.0065410175530375885,0.8692417736450984,0.01008556087475092,0.8702382348006615,0.009723541791081891,0.9009776846045237,0.9235837997607144
2,mlp,MLP Neural Network,False,0.9042692138529073,0.007869717190392754,0.9042643738849374,0.007701518338634586,0.9046632828553872,0.007756571414736151,0.9050199487532773,0.008244865704672862,0.9068618100188897,0.007712601414806568,0.9042643738849374,0.007701518338634586,0.8562095805429537,0.011472224527039047,0.8570982071806925,0.011396859626182521,0.8920045050985471,0.9156663147356259
3,gradient_boosting,Gradient Boosting,False,0.8044652643628782,0.007677177075871797,0.8047327779124117,0.007643339098679625,0.8051566579859485,0.008051602548043005,0.8056159797452577,0.007789528285215822,0.8087307714433308,0.009262730578954955,0.8047327779124117,0.007643339098679625,0.7065327304353127,0.011813176911349912,0.7079839578394279,0.011527958801306287,0.7944830625324599,0.8189946409542648
4,xgboost,XGBoost,False,0.7741797901982378,0.004925262629547719,0.7739146562538787,0.005469016374432548,0.7730594201338977,0.00465387633191897,0.7737364282184022,0.0036866363108901353,0.7761609832935535,0.005984330347510828,0.7739146562538787,0.005469016374432548,0.6603612512065793,0.008688117780752009,0.6620058406969899,0.009252179434648431,0.7634630885970852,0.7809606196263288
5,svm_rbf,SVM (RBF),False,0.6740733815884934,0.018826871112644573,0.675191046849218,0.01834950486594092,0.6763429295174678,0.020889088348987124,0.6768383900457272,0.020022715215303556,0.696028391104289,0.02793106643019619,0.675191046849218,0.01834950486594092,0.5110643221633737,0.028817995482640992,0.5184075650953601,0.029063752986704883,0.6459793871619778,0.6965292358805778
6,random_forest,Random Forest,False,0.6465138334895265,0.02062325541464855,0.6467417415722342,0.021375767193816637,0.6436168527463402,0.02623666883112951,0.6444002969602266,0.025063023434007004,0.6550055100729893,0.022796069646867582,0.6467417415722342,0.021375767193816637,0.46878171590798445,0.03274702440457339,0.4742623787570096,0.030308843354690283,0.6051877827742792,0.6734415882176013
7,knn,K-Nearest Neighbors,False,0.5243139781949488,0.03194542282314946,0.5249122125315737,0.032300892396461875,0.5241975638932718,0.030515609676862503,0.5245288635362839,0.0309117962806712,0.5358048920360674,0.02629805399686283,0.5249122125315737,0.032300892396461875,0.2855921578168255,0.04721255957127143,0.28916193139235025,0.04685578160811026,0.4663587865126327,0.5505925280124634
8,dummy_stratified,Dummy (Stratified),True,0.3352866202382658,0.006118206089412633,0.33539959771372246,0.006150163776134923,0.33562282440346114,0.006203240643860798,0.33510440003554853,0.006232553175020682,0.33648568342526564,0.006220773572272715,0.33539959771372246,0.006150163776134923,0.003373503262097852,0.009221700618371766,0.0033755564963466374,0.009229829576686796,0.3267426772907451,0.349529564269815
9,dummy_most_frequent,Dummy (Most Frequent),True,0.33333333333333337,5.665583147960493e-17,0.32993270207148356,0.016571524920918842,0.16392622783113797,0.014307735627656627,0.16531305877060973,0.006279567782057811,0.10911921871686679,0.010829560811388465,0.32993270207148356,0.016571524920918842,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
