,component,explained_variance,cumulative
0,1,0.224338090265194,0.224338090265194
1,2,0.1592025169122409,0.3835406071774349
2,3,0.13732535804870175,0.5208659652261366
3,4,0.10458474839067701,0.6254507136168136
4,5,0.06681609060324209,0.6922668042200557
5,6,0.06536568355219553,0.7576324877722512
6,7,0.049863826699683825,0.807496314471935
7,8,0.039724823454502727,0.8472211379264377
8,9,0.024099339795779672,0.8713204777222174
9,10,0.022331781788392558,0.89365225951061
10,11,0.017926647871644986,0.911578907382255
11,12,0.014438453995958953,0.926017361378214
12,13,0.01130289924769954,0.9373202606259136
13,14,0.008761454336606366,0.9460817149625199
14,15,0.007837238799883059,0.953918953762403
15,16,0.007080192512734018,0.960999146275137
16,17,0.006904734464788332,0.9679038807399254
17,18,0.005544145188947812,0.9734480259288733
18,19,0.004185479417488122,0.9776335053463614
19,20,0.0036581122454143605,0.9812916175917757
20,21,0.00318789482923427,0.9844795124210101
21,22,0.002895483784141927,0.987374996205152
22,23,0.002728343222454314,0.9901033394276063
23,24,0.0022076080045344516,0.9923109474321408
24,25,0.0016670020498255349,0.9939779494819663
25,26,0.0013916536440947119,0.9953696031260609
26,27,0.0009331873692174421,0.9963027904952784
27,28,0.0008310125687566124,0.997133803064035
28,29,0.0006519118420520029,0.997785714906087
29,30,0.000617420971115945,0.998403135877203
30,31,0.0003953628325451115,0.9987984987097481
31,32,0.0003333620481384353,0.9991318607578865
32,33,0.0003057844301551333,0.9994376451880417
33,34,0.00025109854553580235,0.9996887437335775
34,35,0.00016267875598409198,0.9998514224895616
35,36,4.9311273407531074e-05,0.9999007337629692
36,37,3.5442087349025545e-05,0.9999361758503182
37,38,2.1205131808138054e-05,0.9999573809821264
38,39,1.5822207383346134e-05,0.9999732031895098
39,40,1.189487400303863e-05,0.9999850980635128
40,41,8.122829282383604e-06,0.9999932208927952
41,42,4.604700780881179e-06,0.9999978255935761
42,43,1.0979119213185636e-06,0.9999989235054974
43,44,7.507270422302092e-07,0.9999996742325395
44,45,3.2576698309644047e-07,0.9999999999995226
45,46,4.775868105837886e-13,1.0000000000000002
