,model,class,precision,recall,f1_score,support
0,Dummy (Most Frequent),stable,0.30287859824780977,0.1770731707317073,0.22348776358319225,12300.0
1,Dummy (Most Frequent),shrinking,0.33651702219707813,0.7959071231798505,0.47303176310988443,12705.0
2,Dummy (Most Frequent),severely_shrinking,0.0,0.0,0.0,12235.0
3,Dummy (Stratified),stable,0.3249958451055343,0.31796747967479677,0.3214432481301882,12300.0
4,Dummy (Stratified),shrinking,0.35189669087974174,0.3431719795356159,0.3474795776051006,12705.0
5,Dummy (Stratified),severely_shrinking,0.3292759051186018,0.34491213731099307,0.3369126980958844,12235.0
6,Logistic Regression,stable,0.9601811501324446,0.9135772357723577,0.936299629213015,12300.0
7,Logistic Regression,shrinking,0.8491414253076867,0.9068870523415978,0.8770647788688437,12705.0
8,Logistic Regression,severely_shrinking,0.9396724598930482,0.9191663261136085,0.9293062843449159,12235.0
9,SVM (Linear),stable,0.9646307653532723,0.9334959349593496,0.9488079990083874,12300.0
10,SVM (Linear),shrinking,0.8687234863092943,0.8865013774104683,0.8775223996883522,12705.0
11,SVM (Linear),severely_shrinking,0.917151632719043,0.9274213322435636,0.9222578940951762,12235.0
12,SVM (RBF),stable,0.7909745293466224,0.6968292682926829,0.7409232365145229,12300.0
13,SVM (RBF),shrinking,0.5540614709110867,0.635655253837072,0.5920604083428027,12705.0
14,SVM (RBF),severely_shrinking,0.719141021305377,0.6952186350633429,0.7069775173502888,12235.0
15,Random Forest,stable,0.7189927234077345,0.7149593495934959,0.7169703640291876,12300.0
16,Random Forest,shrinking,0.5477395271671506,0.5197166469893743,0.5333602584814217,12705.0
17,Random Forest,severely_shrinking,0.671298440636097,0.7107478545157335,0.6904601214815991,12235.0
18,Gradient Boosting,stable,0.8790882901203186,0.8434959349593496,0.860924404613725,12300.0
19,Gradient Boosting,shrinking,0.7104405186139965,0.7375049193231011,0.7237197806441646,12705.0
20,Gradient Boosting,severely_shrinking,0.8348436607069964,0.8357989374744585,0.8353210259761477,12235.0
21,K-Nearest Neighbors,stable,0.5913120567375887,0.5422764227642276,0.5657336726039016,12300.0
22,K-Nearest Neighbors,shrinking,0.43317743764172334,0.4811491538764266,0.4559048364843197,12705.0
23,K-Nearest Neighbors,severely_shrinking,0.5698008102633356,0.5517776869636289,0.5606444379853008,12235.0
24,MLP Neural Network,stable,0.9416818106723939,0.926829268292683,0.9341965090551504,12300.0
25,MLP Neural Network,shrinking,0.8449290673105946,0.8813065722156631,0.8627345224794853,12705.0
26,MLP Neural Network,severely_shrinking,0.9320821410536947,0.9051900286064569,0.9184392752000663,12235.0
27,XGBoost,stable,0.856266285618223,0.8282113821138212,0.842005207257098,12300.0
28,XGBoost,shrinking,0.6827441823013125,0.667375049193231,0.674972138194555,12705.0
29,XGBoost,severely_shrinking,0.7859795728876509,0.8302411115651819,0.8075042728248341,12235.0
