,feature,score,p_value,rank
0,viirs_mean_mean,1188.7318618368943,0.0,1
1,age_u15,1059.5139864975592,0.0,2
2,dw_built_frac,890.574974898045,0.0,3
3,dw_trees_frac,675.7954070010838,2.0231797545369128e-270,4
4,pop_total,596.5907513986377,4.8333523394107396e-241,5
5,viirs_mean_std,585.1918108871185,9.048561551045391e-237,6
6,tri_mean,551.4282315035397,4.762654294833278e-224,7
7,dw_shrub_and_scrub_frac,507.18521225358876,3.165848519269376e-207,8
8,S2_NDBI_contrast_mean,441.64045629702053,5.610550850853079e-182,9
9,dw_grass_frac,325.46033037054184,3.1279672708413183e-136,10
10,S2_NDBI_contrast_std,300.8439009969825,2.2725116246448735e-126,11
11,elevation_std,225.11839007127261,1.1872676160034108e-95,12
12,elevation_mean,216.326292342832,4.777233982448083e-92,13
13,osm_built_ratio,213.09100697576667,1.0177013968402976e-90,14
14,dw_crops_frac,181.9560703293756,7.0482493303113315e-78,15
15,S2_NDBI_entropy_std,175.161910931295,4.609886554666679e-75,16
16,dw_flooded_vegetation_frac,174.69839115447877,7.177266886098946e-75,17
17,viirs_mean_slope,163.54422978417205,3.087700136146101e-70,18
18,NDBI_slope,128.38052112904202,1.5308405341410571e-55,19
19,S2_NDBI_entropy_mean,117.57411746614233,5.345746921556789e-51,20
20,age_65_plus,73.450315939732,2.579651523716732e-32,21
21,MNDWI_mean,69.85797815773057,8.75447073497119e-31,22
22,B4_std,61.14258378992712,4.590182909374617e-27,23
23,MNDWI_slope,60.97693077472834,5.4027038993378736e-27,24
24,MNDWI_std,59.987728788883416,1.4300380970766526e-26,25
25,MNDWI_seasonal_amp,51.22399800430703,8.042150846834942e-23,26
26,NDVI_mean,51.03207869637041,9.718347581101786e-23,27
27,NDVI_std,47.934028726205646,2.067320962641658e-21,28
28,NDBI_std,46.27168087731753,1.0674200396919167e-20,29
29,B11_mean,42.02161079707926,7.120069060377582e-19,30
30,B8_std,41.073503636766624,1.8184314525581793e-18,31
31,NDVI_seasonal_amp,40.76309898323732,2.4719418729767024e-18,32
32,household_size,40.18225696453129,4.391183561579534e-18,33
33,B8_mean,39.609080645792844,7.74228815328602e-18,34
34,NDBI_seasonal_amp,38.41144578141705,2.5328027495007775e-17,35
35,B11_std,38.29758279964085,2.8349612334999687e-17,36
36,B4_mean,36.48326159909248,1.7086811155450807e-16,37
37,osm_built_area,19.8091997364801,2.628956401167987e-09,38
38,NDBI_mean,18.479877053376967,9.86613348167582e-09,39
39,dw_water_frac,15.752703130989774,1.489781649825182e-07,40
40,aspect_sin_mean,9.474536907153889,7.771206830587934e-05,41
41,slope_std,8.79134650617146,0.00015362720194623487,42
42,dw_bare_frac,8.539031539923263,0.00019760259064341177,43
43,slope_mean,7.443071010898251,0.0005898514853608882,44
44,NDVI_slope,6.0534289963582815,0.0023613722562099244,45
45,aspect_cos_mean,0.037733100419847745,0.9629701070213919,46
