,B2,B3,B4,B8,B11,NDVI,NDBI,MNDWI,viirs_mean,viirs_mean_x,viirs_mean_y,S2_NDBI_contrast,S2_NDBI_entropy,S2_NDBI_homogeneity,osm_built_area,osm_building_count,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,dw_bare_frac,dw_snow_and_ice_frac,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus,year,month_num
B2,1.0,0.9964476424172516,0.9934700533064703,0.8642359887384158,0.30027368613760164,-0.2799870443810756,-0.5871589736587006,0.4915837718707211,0.13548691545502517,0.45640197807496186,0.45640197807496186,-0.24451836086241246,0.08437546834360744,-0.05594981747588871,0.07293692665254135,0.06590431576501113,0.043364466374298805,0.11146899186950085,0.09814092523894068,0.16911847512475117,0.06428114673953206,-0.1877287848675185,-0.2097800485672074,0.05359784471754134,-0.031524246388299,-0.005695332870576687,-0.030627963892591478,-0.0337933089865505,-0.020631536126853374,-0.031563407517695076,-0.01206655285937221,-0.01152792557328099,0.1296954631681436,0.042298809347560196,0.0429839263768542,0.041680907513540255,0.03613195862348024,0.039785333524497785,0.03917321234414216,0.05149408057445783,0.05458625901803191,-0.1538380564607848,-0.18275244814657016
B3,0.9964476424172516,1.0,0.9983763325610132,0.8954034978885271,0.358677559872166,-0.2228258828394009,-0.5767340844561308,0.435966348906364,0.1312364575421923,0.44863169884006904,0.44863169884006904,-0.2420289777939976,0.1064223472088944,-0.07823159121828477,0.08416201823129187,0.07619085067543815,0.04834595303938296,0.1320191915316953,0.11442502015473575,0.18739506629389188,0.0730420800874295,-0.21864112207210662,-0.23976409530375525,0.061877798442292464,-0.03744150760122642,-0.009555712808980845,-0.033502320167190056,-0.039479650081612666,-0.02267219670589732,-0.03570808017172689,-0.012127611136946435,-0.011840063771299805,0.1565584829229716,0.048740537146593814,0.04947130373480276,0.0480805369754843,0.04156386307545253,0.04586916105373201,0.045169294738877826,0.05924986898035198,0.06283242514717438,-0.1427326042952554,-0.17846242862573858
B4,0.9934700533064703,0.9983763325610132,1.0,0.8891723683259116,0.36479967433117155,-0.23431791707873334,-0.5580017109874637,0.43111020155033597,0.13540461580562757,0.4970815391550764,0.4970815391550764,-0.23859239879059346,0.11317501916928019,-0.0835124372489342,0.08644144095964283,0.0778476910499615,0.05262575175481273,0.13296786302348856,0.11555621586896243,0.20137476122955708,0.07592098092911008,-0.2246694112572879,-0.2505729466429668,0.06251002252051907,-0.037507758051194766,-0.0075454115028121115,-0.0342198030528261,-0.04370884924170587,-0.026258610957735525,-0.030404772299423646,-0.01250950736766175,-0.010975557100760721,0.1558935655747379,0.05023272408524409,0.051136780776982395,0.04941879121293031,0.04288762918951315,0.04756077899542799,0.04659872481978836,0.060972461937429744,0.06454684073542424,-0.14566434100164202,-0.1858771498425897
B8,0.8642359887384158,0.8954034978885271,0.8891723683259116,1.0,0.625052231958946,0.20371789361423656,-0.5719309708067185,0.09169488463940528,0.09550595121964495,-0.030630009490095013,-0.030630009490095013,-0.2278041837819614,0.19835673952818647,-0.1798077927598963,0.12171221126982854,0.11431084833694105,0.03968987469740635,0.23014589421070217,0.18594782031713034,0.15007973874293315,0.09104506962680811,-0.3332728856631592,-0.3008921202318114,0.0944985740219959,-0.06484981524288655,-0.05259065085559148,-0.03703004974348197,-0.031517170114844666,-0.0009913581275557038,-0.09286083313136927,-0.0034430056910444455,-0.014997438169337097,0.30521191258119973,0.06877939277918535,0.06827158825763074,0.06921175060147895,0.057993352187636356,0.06270800680171427,0.06360224298011166,0.08372003861765638,0.08974107793707134,-0.06285294339026833,-0.14563339046762636
B11,0.30027368613760164,0.358677559872166,0.36479967433117155,0.625052231958946,1.0,0.5303803723430522,0.05696247422848355,-0.5512152692593669,0.03535979241565976,0.3166105513070238,0.3166105513070238,-0.06967903640111729,0.2850787039679034,-0.2789159947403294,0.14325020945862008,0.13026492551910712,0.0859989281291453,0.23821662738278498,0.1789294168871407,0.2198132463176132,0.10147341565736444,-0.39994798322218916,-0.38000513923217244,0.0757181811338723,-0.06481094917561692,-0.05524470984165816,-0.01003744597118564,-0.1021346526930656,-0.04571382552060142,0.03432127696922907,0.030423264579946895,0.019367769689497945,0.32498527887735895,0.0919880402121327,0.09353313037993091,0.09059540664409284,0.0802504047160979,0.09173839951438079,0.0877665890914707,0.1048458501203663,0.10901246857553255,0.0016046067149175626,0.05221715421133853
NDVI,-0.2799870443810756,-0.2228258828394009,-0.23431791707873334,0.20371789361423656,0.5303803723430522,1.0,0.02264675574899857,-0.8241915139938172,-0.08185502439837625,-0.38753513918332644,-0.38753513918332644,0.06723290878107126,0.25639946325191665,-0.27563642486769446,0.08270652974449169,0.0836733843892397,-0.010828119597914632,0.21266422735546991,0.14475041293919155,-0.10895697916988814,0.03025990829384522,-0.2506225200507606,-0.1206062996113797,0.05897256330560127,-0.057638771087505314,-0.09954335999326891,0.009484249638922153,-0.009259024879034378,0.03239561336673783,-0.06839546774084684,0.03597577393380947,0.010059635648799624,0.3336431793620477,0.04515369547727162,0.04300174450226571,0.04704896330813407,0.037769409113558125,0.04081062830865669,0.04250487055651229,0.05243535943944672,0.05662183905937135,0.21919466605851018,0.13102074841096537
NDBI,-0.5871589736587006,-0.5767340844561308,-0.5580017109874637,-0.5719309708067185,0.05696247422848355,0.02264675574899857,1.0,-0.4969227382926293,-0.10100876163170258,0.4560772583453857,0.4560772583453857,0.19101161987398627,-0.023464792567680665,0.014667430637164055,-0.04050426689546179,-0.04414375749472082,0.033334677343704364,-0.12682818574038265,-0.09336536355462713,0.10074001415555213,-0.019314613432867826,0.1264157077023561,0.03902565268477358,-0.052715959470742944,0.04129158588760488,0.05935690101637787,0.014691523427353491,-0.040041025495284474,-0.04975104937540805,0.12621684523794768,-0.0031338778001089676,0.01967348262444487,-0.19394991002739806,-0.016139563357834737,-0.01353355689904694,-0.018444591436265083,-0.011940839988313634,-0.009670270285234404,-0.013741441276841768,-0.022689683418418424,-0.02675936046873872,0.05189263452940207,0.26716923962717587
MNDWI,0.4915837718707211,0.435966348906364,0.43111020155033597,0.09169488463940528,-0.5512152692593669,-0.8241915139938172,-0.4969227382926293,1.0,0.10624235765745066,0.2108367765855963,0.2108367765855963,-0.16366207395992607,-0.22927414191959702,0.2460245765516179,-0.055347954395513495,-0.05266555761218192,-0.020618181106593254,-0.12353511506916932,-0.07443178032069703,0.02672612821677542,-0.020383577651988186,0.1715225923328515,0.1053322424924314,-0.02284022961677738,0.030701500477163902,0.05311267151522852,-0.02104237557149712,0.05559790167377252,0.014924215966438904,-0.04838081571182638,-0.037568516378352776,-0.030708319017343933,-0.19592932356182802,-0.03519757414657374,-0.035352050191906084,-0.03505168596334078,-0.03082419388212184,-0.036767591978654646,-0.034504131530312315,-0.03734278351460454,-0.038280466631224,-0.1839378997068481,-0.21894955050365256
viirs_mean,0.13548691545502517,0.1312364575421923,0.13540461580562757,0.09550595121964495,0.03535979241565976,-0.08185502439837625,-0.10100876163170258,0.10624235765745066,1.0,1.0,1.0,0.08389788733322641,0.001340879869640538,0.0036122960767024153,0.26120742753067044,0.2399747036381551,0.47087133448124985,-0.3272958378326259,-0.3119432429126005,-0.018483180362910193,-0.18587169237140017,-0.14491105794863648,-0.09043279301374077,-0.4361972171886748,0.13203937691893694,-0.4662449203837863,0.41895762796277625,0.2563921825371452,0.29217093063330163,0.15269319423656977,0.6583851429995669,0.3609656132040665,-0.05687667972902833,0.3800544094564302,0.3851618071899164,0.375431402975192,0.3796497336958628,0.41284941521029295,0.3913692871675866,0.35462539115147607,0.34553777530182256,0.029037638321240213,-0.13180419429189882
viirs_mean_x,0.45640197807496186,0.44863169884006904,0.4970815391550764,-0.030630009490095013,0.3166105513070238,-0.38753513918332644,0.4560772583453857,0.2108367765855963,1.0,1.0,1.0,0.3572696179640464,-0.24087614116246958,0.2458263322371382,0.5603123946750531,0.4952535313789273,0.8805609908477521,-0.5366230718125536,-0.506176929289718,-0.397897118947713,-0.019398703398933913,-0.39789711894777363,-0.39789711894935254,-0.5277107589510921,0.31127480055982204,-0.5219770198898576,0.42787191024681176,-0.01028112082611208,0.0026384120887469795,0.7181409653049564,0.9416254559996778,0.6393285125000723,-0.2608551717510599,0.45510460381403006,0.4726526860061626,0.4394253491004624,0.4628786318682102,0.5197443834133173,0.473868712636268,0.42813035384199755,0.4221137104198829,0.035066363765224005,
