feature,n_valid,mean,std,skewness,kurtosis,shapiro_p,normal_5pct,suggested_transform
B2,5537,1238.6715,1384.4197,2.7586,8.6469,0.0,False,log1p
B3,5537,1246.3745,1366.9444,2.8139,9.1051,0.0,False,log1p
B4,5537,1207.2675,1425.2896,2.8098,9.1277,0.0,False,log1p
B8,5537,1978.7849,1456.1392,1.8818,5.7386,0.0,False,sqrt
B11,5537,1057.7401,599.1833,0.3863,-0.1168,0.0,False,none
NDVI,5537,0.1994,0.2186,0.383,-0.474,0.0,False,none
NDBI,5537,-0.2072,0.1802,-0.1623,3.3073,0.0,False,none
MNDWI,5537,0.0593,0.3162,0.3966,-0.8405,0.0,False,none
viirs_mean,8210,0.9563,1.129,4.2906,25.1974,0.0,False,robust_scale
S2_NDBI_contrast,6520,193.3619,120.5663,2.061,5.4822,0.0,False,log1p
S2_NDBI_entropy,6520,5.2082,2.1791,-0.8624,-0.2945,0.0,False,none
S2_NDBI_homogeneity,6520,0.6808,0.1609,0.8437,-0.2758,0.0,False,none
dw_water_frac,8470,0.0629,0.0335,2.4956,5.966,0.0,False,log1p
dw_trees_frac,8470,0.4053,0.1313,-0.9825,0.2204,0.0,False,none
dw_grass_frac,8470,0.0657,0.0132,1.1848,1.4887,0.0,False,sqrt
dw_flooded_vegetation_frac,8470,0.0406,0.0065,1.4818,1.2536,0.0,False,sqrt
dw_crops_frac,8470,0.1031,0.0668,1.641,1.8608,0.0,False,sqrt
dw_shrub_and_scrub_frac,8470,0.0622,0.0063,0.4287,-0.1438,0.0,False,none
dw_built_frac,8470,0.0858,0.0431,1.3776,1.0417,0.0,False,sqrt
dw_bare_frac,8470,0.0451,0.004,1.3718,3.4927,0.0,False,sqrt
dw_snow_and_ice_frac,8470,0.1188,0.0351,0.6858,-0.0599,0.0,False,none
pop_total,8470,33955.6453,58993.158,3.2701,10.6079,0.0,False,log1p
pop_male,8470,16005.3757,27722.1189,3.2768,10.6703,0.0,False,log1p
pop_female,8470,17950.2697,31278.9719,3.2646,10.5583,0.0,False,log1p
households_total,8470,13804.1908,25510.9745,3.4273,11.6588,0.0,False,log1p
age_u15,8470,3428.2113,6292.8296,3.3186,10.7876,0.0,False,log1p
age_15_64,8470,18189.0715,32871.1112,3.3282,10.9052,0.0,False,log1p
age_65_plus,8470,11899.0061,18524.6971,3.0184,9.197,0.0,False,log1p
age_75_plus,8470,6175.3967,9361.6132,2.9268,8.6848,0.0,False,log1p
osm_built_area,8470,2362162.3612,4230596.0608,2.6366,6.1858,0.0,False,log1p
osm_building_count,8470,17205.0553,34606.9926,2.7701,6.8723,0.0,False,log1p
osm_built_ratio,8470,0.0065,0.0081,2.6433,8.3032,0.0,False,log1p
