pair,feature_1,feature_2,correlation,abs_correlation
viirs_mean -- viirs_mean_x,viirs_mean,viirs_mean_x,1.0,1.0
viirs_mean -- viirs_mean_y,viirs_mean,viirs_mean_y,1.0,1.0
viirs_mean_x -- viirs_mean_y,viirs_mean_x,viirs_mean_y,1.0,1.0
pop_total -- pop_female,pop_total,pop_female,0.9999,0.9999
pop_total -- pop_male,pop_total,pop_male,0.9998,0.9998
pop_male -- pop_female,pop_male,pop_female,0.9995,0.9995
pop_total -- age_15_64,pop_total,age_15_64,0.9994,0.9994
pop_male -- age_15_64,pop_male,age_15_64,0.9994,0.9994
age_65_plus -- age_75_plus,age_65_plus,age_75_plus,0.9994,0.9994
pop_female -- age_15_64,pop_female,age_15_64,0.9991,0.9991
households_total -- age_15_64,households_total,age_15_64,0.9991,0.9991
age_u15 -- age_15_64,age_u15,age_15_64,0.9989,0.9989
pop_male -- households_total,pop_male,households_total,0.9987,0.9987
pop_total -- households_total,pop_total,households_total,0.9986,0.9986
B3 -- B4,B3,B4,0.9984,0.9984
pop_male -- age_u15,pop_male,age_u15,0.9983,0.9983
pop_female -- households_total,pop_female,households_total,0.9983,0.9983
pop_total -- age_u15,pop_total,age_u15,0.9977,0.9977
households_total -- age_u15,households_total,age_u15,0.9973,0.9973
pop_female -- age_u15,pop_female,age_u15,0.9969,0.9969
B2 -- B3,B2,B3,0.9964,0.9964
pop_female -- age_65_plus,pop_female,age_65_plus,0.9964,0.9964
pop_total -- age_65_plus,pop_total,age_65_plus,0.9962,0.9962
pop_male -- age_65_plus,pop_male,age_65_plus,0.9958,0.9958
S2_NDBI_entropy -- S2_NDBI_homogeneity,S2_NDBI_entropy,S2_NDBI_homogeneity,-0.9943,0.9943
osm_built_area -- osm_building_count,osm_built_area,osm_building_count,0.9941,0.9941
B2 -- B4,B2,B4,0.9935,0.9935
pop_female -- age_75_plus,pop_female,age_75_plus,0.9932,0.9932
age_15_64 -- age_65_plus,age_15_64,age_65_plus,0.9931,0.9931
pop_total -- age_75_plus,pop_total,age_75_plus,0.9929,0.9929
pop_male -- age_75_plus,pop_male,age_75_plus,0.9923,0.9923
households_total -- age_65_plus,households_total,age_65_plus,0.9918,0.9918
age_u15 -- age_65_plus,age_u15,age_65_plus,0.9902,0.9902
age_15_64 -- age_75_plus,age_15_64,age_75_plus,0.9891,0.9891
households_total -- age_75_plus,households_total,age_75_plus,0.9876,0.9876
age_u15 -- age_75_plus,age_u15,age_75_plus,0.9856,0.9856
viirs_mean_x -- dw_built_frac,viirs_mean_x,dw_built_frac,0.9416,0.9416
viirs_mean_y -- dw_built_frac,viirs_mean_y,dw_built_frac,0.9416,0.9416
dw_flooded_vegetation_frac -- dw_crops_frac,dw_flooded_vegetation_frac,dw_crops_frac,0.9333,0.9333
dw_trees_frac -- dw_crops_frac,dw_trees_frac,dw_crops_frac,-0.9137,0.9137
aspect_sin_mean -- aspect_cos_mean,aspect_sin_mean,aspect_cos_mean,0.9058,0.9058
B3 -- B8,B3,B8,0.8954,0.8954
B4 -- B8,B4,B8,0.8892,0.8892
viirs_mean_x -- osm_built_ratio,viirs_mean_x,osm_built_ratio,0.8806,0.8806
viirs_mean_y -- osm_built_ratio,viirs_mean_y,osm_built_ratio,0.8806,0.8806
tri_mean -- dw_trees_frac,tri_mean,dw_trees_frac,0.8648,0.8648
B2 -- B8,B2,B8,0.8642,0.8642
elevation_mean -- elevation_std,elevation_mean,elevation_std,0.8635,0.8635
osm_built_area -- age_75_plus,osm_built_area,age_75_plus,0.8446,0.8446
tri_mean -- dw_grass_frac,tri_mean,dw_grass_frac,-0.8429,0.8429
tri_mean -- dw_crops_frac,tri_mean,dw_crops_frac,-0.8418,0.8418
dw_trees_frac -- dw_flooded_vegetation_frac,dw_trees_frac,dw_flooded_vegetation_frac,-0.8412,0.8412
osm_built_area -- age_65_plus,osm_built_area,age_65_plus,0.8377,0.8377
NDVI -- MNDWI,NDVI,MNDWI,-0.8242,0.8242
osm_built_area -- pop_male,osm_built_area,pop_male,0.8188,0.8188
osm_built_area -- pop_total,osm_built_area,pop_total,0.8171,0.8171
elevation_mean -- tri_mean,elevation_mean,tri_mean,0.8164,0.8164
osm_built_area -- pop_female,osm_built_area,pop_female,0.8154,0.8154
osm_built_area -- households_total,osm_built_area,households_total,0.8139,0.8139
osm_building_count -- age_75_plus,osm_building_count,age_75_plus,0.8137,0.8137
dw_trees_frac -- dw_grass_frac,dw_trees_frac,dw_grass_frac,-0.8107,0.8107
tri_mean -- dw_flooded_vegetation_frac,tri_mean,dw_flooded_vegetation_frac,-0.8103,0.8103
osm_building_count -- age_65_plus,osm_building_count,age_65_plus,0.8075,0.8075
osm_built_area -- age_15_64,osm_built_area,age_15_64,0.8071,0.8071
osm_built_area -- age_u15,osm_built_area,age_u15,0.807,0.807
