feature,missing_count,missing_pct,flagged,missing_pct_Akita,missing_pct_Aomori
B2,2961,35.04,True,36.03,34.42
B3,2961,35.04,True,36.03,34.42
B4,2961,35.04,True,36.03,34.42
B8,2961,35.04,True,36.03,34.42
B11,2961,35.04,True,36.03,34.42
NDVI,2961,35.04,True,36.03,34.42
NDBI,2961,35.04,True,36.03,34.42
viirs_mean,0,0.0,False,0.0,0.0
osm_built_area,0,0.0,False,0.0,0.0
osm_building_count,0,0.0,False,0.0,0.0
osm_built_ratio,0,0.0,False,0.0,0.0
pop_total,0,0.0,False,0.0,0.0
pop_male,0,0.0,False,0.0,0.0
pop_female,0,0.0,False,0.0,0.0
households_total,0,0.0,False,0.0,0.0
age_u15,0,0.0,False,0.0,0.0
age_15_64,0,0.0,False,0.0,0.0
age_65_plus,0,0.0,False,0.0,0.0
age_75_plus,0,0.0,False,0.0,0.0
S2_NDBI_contrast,2145,25.38,True,24.62,25.87
S2_NDBI_entropy,2145,25.38,True,24.62,25.87
S2_NDBI_homogeneity,2145,25.38,True,24.62,25.87
year,0,0.0,False,0.0,0.0
month_num,0,0.0,False,0.0,0.0
