unit_id,month,feature,value,lower_bound,upper_bound,bound_exceeded
mura:Akita:05201,2018-12,B2,5234.6771,-888.0414,2885.6246,upper
mura:Akita:05202,2018-12,B2,4753.8082,-888.0414,2885.6246,upper
mura:Akita:05203,2018-12,B2,6708.0857,-888.0414,2885.6246,upper
mura:Akita:05204,2018-12,B2,6787.4526,-888.0414,2885.6246,upper
mura:Akita:05207,2018-12,B2,6795.0413,-888.0414,2885.6246,upper
mura:Akita:05209,2018-12,B2,5664.9948,-888.0414,2885.6246,upper
mura:Akita:05210,2018-12,B2,4756.7252,-888.0414,2885.6246,upper
mura:Akita:05211,2018-12,B2,4108.4633,-888.0414,2885.6246,upper
mura:Akita:05212,2018-12,B2,6385.359,-888.0414,2885.6246,upper
mura:Akita:05213,2018-12,B2,6653.2455,-888.0414,2885.6246,upper
mura:Akita:05214,2018-12,B2,3550.3064,-888.0414,2885.6246,upper
mura:Akita:05215,2018-12,B2,6736.9171,-888.0414,2885.6246,upper
mura:Akita:05303,2018-12,B2,5751.558,-888.0414,2885.6246,upper
mura:Akita:05327,2018-12,B2,5923.3846,-888.0414,2885.6246,upper
mura:Akita:05346,2018-12,B2,5577.1452,-888.0414,2885.6246,upper
mura:Akita:05348,2018-12,B2,4509.9993,-888.0414,2885.6246,upper
mura:Akita:05349,2018-12,B2,4292.029,-888.0414,2885.6246,upper
mura:Akita:05361,2018-12,B2,5147.9635,-888.0414,2885.6246,upper
mura:Akita:05363,2018-12,B2,4311.4043,-888.0414,2885.6246,upper
mura:Akita:05366,2018-12,B2,4656.3467,-888.0414,2885.6246,upper
mura:Akita:05368,2018-12,B2,3788.0396,-888.0414,2885.6246,upper
mura:Akita:05434,2018-12,B2,6937.4,-888.0414,2885.6246,upper
mura:Akita:05463,2018-12,B2,5971.2709,-888.0414,2885.6246,upper
mura:Akita:05464,2018-12,B2,6938.0,-888.0414,2885.6246,upper
mura:Aomori:02201,2018-12,B2,5180.4741,-888.0414,2885.6246,upper
