feature,n_valid,outlier_count,outlier_pct,lower_bound,upper_bound,q1,q3,iqr
B2,4005,508,12.68,-888.0414,2885.6246,527.0834,1470.4999,943.4165
B3,4005,516,12.88,-798.587,2779.4367,543.1719,1437.6778,894.5059
B4,4005,497,12.41,-956.1986,2826.5192,462.3206,1408.0,945.6794
B8,4005,253,6.32,-1139.9885,4894.9973,1123.1312,2631.8776,1508.7465
B11,4005,40,1.0,-571.4407,2757.095,676.7602,1508.8941,832.1339
NDVI,4005,5,0.12,-0.4344,0.8048,0.0303,0.3401,0.3098
NDBI,4005,111,2.77,-0.6347,0.2469,-0.3041,-0.0837,0.2204
viirs_mean,4680,364,7.78,-0.5105,2.0536,0.451,1.092,0.641
osm_built_area,4680,720,15.38,-1829495.7743,3747955.915,262048.6092,1656411.5315,1394362.9223
osm_building_count,4680,720,15.38,-11728.0,22776.0,1211.0,9837.0,8626.0
osm_built_ratio,4680,432,9.23,-0.0076,0.0168,0.0015,0.0076,0.0061
pop_total,4680,576,12.31,-32443.5,68960.5,5583.0,30934.0,25351.0
pop_male,4680,576,12.31,-15209.5,32106.5,2534.0,14363.0,11829.0
pop_female,4680,504,10.77,-17671.5,37116.5,2874.0,16571.0,13697.0
households_total,4680,576,12.31,-11582.0,25538.0,2338.0,11618.0,9280.0
age_u15,4680,432,9.23,-3803.0,7517.0,442.0,3272.0,2830.0
age_15_64,4680,504,10.77,-18061.0,37243.0,2678.0,16504.0,13826.0
age_65_plus,4680,576,12.31,-11521.0,25807.0,2477.0,11809.0,9332.0
age_75_plus,4680,576,12.31,-6355.5,13864.5,1227.0,6282.0,5055.0
S2_NDBI_contrast,4420,363,8.21,-46.8794,380.6026,113.4263,220.2968,106.8705
S2_NDBI_entropy,4420,680,15.38,1.8969,9.7152,4.8288,6.7834,1.9546
S2_NDBI_homogeneity,4420,640,14.48,0.3451,0.9294,0.5642,0.7103,0.1461
year,4680,0,0.0,2014.5,2026.5,2019.0,2022.0,3.0
month_num,4680,0,0.0,-4.5,17.5,3.75,9.25,5.5
