,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus
B2,0.042298809347560196,0.0429839263768542,0.041680907513540255,0.03613195862348024,0.039785333524497785,0.03917321234414216,0.05149408057445783,0.05458625901803191
B3,0.048740537146593814,0.04947130373480276,0.0480805369754843,0.04156386307545253,0.04586916105373201,0.045169294738877826,0.05924986898035198,0.06283242514717438
B4,0.05023272408524409,0.051136780776982395,0.04941879121293031,0.04288762918951315,0.04756077899542799,0.04659872481978836,0.060972461937429744,0.06454684073542424
B8,0.06877939277918535,0.06827158825763074,0.06921175060147895,0.057993352187636356,0.06270800680171427,0.06360224298011166,0.08372003861765638,0.08974107793707134
B11,0.0919880402121327,0.09353313037993091,0.09059540664409284,0.0802504047160979,0.09173839951438079,0.0877665890914707,0.1048458501203663,0.10901246857553255
NDVI,0.04515369547727162,0.04300174450226571,0.04704896330813407,0.037769409113558125,0.04081062830865669,0.04250487055651229,0.05243535943944672,0.05662183905937135
NDBI,-0.016139563357834737,-0.01353355689904694,-0.018444591436265083,-0.011940839988313634,-0.009670270285234404,-0.013741441276841768,-0.022689683418418424,-0.02675936046873872
MNDWI,-0.03519757414657374,-0.035352050191906084,-0.03505168596334078,-0.03082419388212184,-0.036767591978654646,-0.034504131530312315,-0.03734278351460454,-0.038280466631224
viirs_mean,0.3800544094564302,0.3851618071899164,0.375431402975192,0.3796497336958628,0.41284941521029295,0.3913692871675866,0.35462539115147607,0.34553777530182256
S2_NDBI_contrast,-0.21050986936695965,-0.20971541495894877,-0.2111605175173483,-0.2061909033301148,-0.1898659488307239,-0.20155398788562387,-0.23521723988476553,-0.24316758711691772
S2_NDBI_entropy,0.037043163202120984,0.037784640247086866,0.036376608406007795,0.034773862262206114,0.03899601130221679,0.03664753530124516,0.035057124557985146,0.03311314581316784
S2_NDBI_homogeneity,-0.0067559912115112706,-0.007448789192775933,-0.006140269748445709,-0.005084126041667293,-0.009964049375912535,-0.0070363563679872254,-0.003075599082681913,-0.000768568957038704
dw_water_frac,0.08900200931474117,0.09092300056941705,0.08727688924774166,0.09470132174387082,0.09158761287272286,0.09135852919336,0.07919771133029392,0.07524417817031417
dw_trees_frac,-0.0858608970674103,-0.08594372841374028,-0.0857657092567045,-0.07562332856234456,-0.10438002561450385,-0.09204768479462389,-0.0717982216940468,-0.06933646907610866
dw_grass_frac,-0.04134742914178142,-0.04023781776303596,-0.04232037602033787,-0.048132994416401884,-0.0198909095032397,-0.03302840345974624,-0.05742266699045705,-0.0586722903902878
dw_flooded_vegetation_frac,-0.053906009215575174,-0.05552390963643325,-0.052458415191669786,-0.06303087153996921,-0.05007710716015381,-0.053570948382202194,-0.05286376166679733,-0.05018849882382897
dw_crops_frac,-0.07754450649270725,-0.07916621082663496,-0.07608754605625877,-0.088593308542237,-0.06773429358702743,-0.0750081830138308,-0.0820245856547653,-0.0800433693882344
dw_shrub_and_scrub_frac,-0.04022677527111955,-0.035644867318089475,-0.04427745464565331,-0.03237875198543962,-0.01905359588553078,-0.03140703801858763,-0.05558085608756587,-0.060343235718333
dw_built_frac,0.2628977827082003,0.26526618117933776,0.26073202940513096,0.25637756970941106,0.292899568136173,0.2729021318566379,0.24230866769910506,0.23492098851458454
dw_bare_frac,0.025415814292296435,0.028552460618633566,0.022629402358349277,0.025167602322279683,0.046721434565553464,0.034050255265226724,0.003972735006756536,-0.000495095091417064
dw_snow_and_ice_frac,0.08772367434456639,0.08469332265795408,0.09038718503983605,0.07644157786309619,0.08185175287069794,0.0851943194144241,0.09023063149776175,0.09179295073761984
osm_built_area,0.8170645347900222,0.8187579409118833,0.8153564733175681,0.8138784827930051,0.8069863911250073,0.8071017667509677,0.8377013959239898,0.8446193254703627
osm_building_count,0.78797610931854,0.7893010814501588,0.7866019630163308,0.7857125880872216,0.77660148181878,0.7773302187664508,0.807547865496595,0.813668919768219
osm_built_ratio,0.5309332205634789,0.5353309548637686,0.5269009174910851,0.5313329669858546,0.5481869744871775,0.532892075832926,0.5288694667184145,0.5268783555647418
