unit_id,n_total_months,n_valid_months,valid_pct,first_month,last_month,gap_count
mura:Akita:05201,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05202,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05203,72,59,81.9,2018-01-01,2023-12-01,2
mura:Akita:05204,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05206,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05207,72,59,81.9,2018-01-01,2023-12-01,2
mura:Akita:05209,72,58,80.6,2018-01-01,2023-12-01,3
mura:Akita:05210,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05211,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05212,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05213,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05214,72,59,81.9,2018-01-01,2023-12-01,2
mura:Akita:05215,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05303,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05327,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05346,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05348,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05349,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05361,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05363,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05366,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05368,72,62,86.1,2018-01-01,2023-12-01,1
mura:Akita:05434,72,59,81.9,2018-01-01,2023-12-01,2
mura:Akita:05463,72,59,81.9,2018-01-01,2023-12-01,2
mura:Akita:05464,72,53,73.6,2018-01-01,2023-12-01,5
mura:Aomori:02201,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02202,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02203,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02204,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02205,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02206,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02207,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02208,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02209,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02210,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02301,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02303,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02304,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02307,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02321,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02323,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02343,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02361,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02362,72,63,87.5,2018-01-01,2023-12-01,2
mura:Aomori:02367,72,63,87.5,2018-01-01,2023-12-01,2
mura:Aomori:02381,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02384,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02387,72,64,88.9,2018-01-01,2023-12-01,3
mura:Aomori:02401,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02402,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02405,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02406,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02408,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02411,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02412,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02423,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02424,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02425,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02426,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02441,72,58,80.6,2018-01-01,2023-12-01,3
mura:Aomori:02442,72,62,86.1,2018-01-01,2023-12-01,1
mura:Aomori:02443,72,58,80.6,2018-01-01,2023-12-01,3
mura:Aomori:02445,72,60,83.3,2018-01-01,2023-12-01,1
mura:Aomori:02446,72,53,73.6,2018-01-01,2023-12-01,5
mura:Aomori:02450,72,58,80.6,2018-01-01,2023-12-01,3
