,B2,B3,B4,B8,B11,NDVI,NDBI,MNDWI,viirs_mean,S2_NDBI_contrast,S2_NDBI_entropy,S2_NDBI_homogeneity,osm_built_area,osm_building_count,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,dw_bare_frac,dw_snow_and_ice_frac,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus,year,month_num
B2,1.0,0.9969430017259944,0.9937670072476947,0.8861204020202058,0.2408072404227052,-0.33435174962107256,-0.5940765665086898,0.5586453161398723,0.057944210331081866,-0.2654382271457324,0.046667898367566,-0.0012155849414457979,0.004291911845127209,0.003951770093779854,0.009536112191291392,0.07064529988383028,0.013784581050630487,0.19549012878553865,0.003952355211066985,-0.17806111418515191,-0.19998874186231502,0.023209997465042213,-0.011801898934370468,0.005677451574826953,0.02340026011432815,0.008425104848395207,0.03200545142483642,0.01205917364071093,-0.031018549031285026,0.002397159049095723,0.09173084070808583,-0.023673034927730097,-0.023285102617729335,-0.02419082418393525,-0.0299591141737365,-0.023498403604092034,-0.02619339641626113,-0.02123672773817229,-0.019378573436730398,-0.07945250898981085,-0.20648331716726095
B3,0.9969430017259944,1.0,0.9983795462452634,0.9111362175591873,0.29276140505470327,-0.2871889933610114,-0.5833314160992654,0.5127147029391929,0.05179408738577222,-0.2568556966638249,0.0576555572855949,-0.01183487169837399,0.005450442433210041,0.005156770053556366,0.01082869009546369,0.08276566269809356,0.015621048055420366,0.21630692525710846,0.004587706741034008,-0.19980547312950042,-0.222632271758304,0.025186772808503087,-0.015023348760229528,0.004485740504671526,0.026793766808595562,0.00918368848444459,0.03718931568671319,0.012814590341408853,-0.0342697530246809,0.002478956647437031,0.10975291258157494,-0.02665770333734286,-0.026271090752166118,-0.02720565674743954,-0.03401819143010655,-0.02659358898732217,-0.029564442944968905,-0.02390981145615094,-0.02175286873048314,-0.06905320871880632,-0.202671419614383
B4,0.9937670072476947,0.9983795462452634,1.0,0.9054175798361049,0.3030161671329591,-0.29923374237520106,-0.5629327750305508,0.5048328750801344,0.05136135563430364,-0.25367160304976905,0.05799798526207239,-0.01245212971450962,0.004611274231491978,0.004156127419136077,0.01153822565089518,0.08507545474302432,0.015844556647978972,0.2342746297681795,0.004667831212578299,-0.21328572938016402,-0.23961634974182797,0.02773601312726585,-0.014956107383667408,0.006381063600858109,0.027929513582721888,0.008706571506719355,0.03710939142376452,0.0162963275343382,-0.03652558822468581,0.004418819449673433,0.11206506649262575,-0.028647108342498548,-0.028092390844305006,-0.029321723033130152,-0.03600580732190643,-0.027964912130777564,-0.0314185216558191,-0.02578806405106693,-0.023666517460554405,-0.07182180124452361,-0.20993371389718704
B8,0.8861204020202058,0.9111362175591873,0.9054175798361049,1.0,0.5338095955367642,0.10417626917401171,-0.5875355664196885,0.22391232054377583,0.03613071197680532,-0.20588865033207326,0.1207617567429565,-0.07627604571148572,0.019359763760471205,0.020857490966115267,0.013525754678325364,0.13025279500032086,0.02301599982828397,0.17081632509194172,0.0075231505288704485,-0.203229464833905,-0.1978143507882488,0.014962391684291317,-0.03429771889698947,-0.019203145368676174,0.033465583991728595,0.015271361053623587,0.06241299217408942,-0.010175651576954037,-0.03037021208156963,-0.012820144015018629,0.19179047792293508,-0.025862235776853416,-0.026919156640869475,-0.02544164274383334,-0.03869480271709265,-0.03096546723265792,-0.031556683870973753,-0.021988768466698946,-0.017877802339265007,0.005106581285046569,-0.1632540009284786
B11,0.2408072404227052,0.29276140505470327,0.3030161671329591,0.5338095955367642,1.0,0.4741296371919789,0.09387045827073826,-0.5108293799664628,-0.04328722307805567,0.05861270428728778,0.15097478971142667,-0.16239974133567392,0.011237737496014356,0.012425382780142965,0.02620536902368372,0.15340835628704086,0.015384291470753332,0.3075806151058816,0.008958159689017293,-0.3173478803122321,-0.3326649914442094,0.03499752155632793,-0.0499156874238756,-0.012106125577024179,0.032219409727955395,-0.012905154865372201,0.03529703432427323,0.03883002217884994,-0.031154173914436502,0.016093968689262196,0.2426177078998541,-0.04119115410018514,-0.040160462701254715,-0.04212637182547597,-0.05109321956720013,-0.03524054794819035,-0.042120643871654935,-0.036938063443693235,-0.03424266471483871,0.07351313970235747,0.0703430940629719
NDVI,-0.33435174962107256,-0.2871889933610114,-0.29923374237520106,0.10417626917401171,0.4741296371919789,1.0,0.03621580451638388,-0.7722266109240452,-0.045655750373480006,0.16819621290769918,0.13029685618491993,-0.15871649047419492,0.033639384290271884,0.03863346445494717,0.012300086656253597,0.10313255929738557,0.01012550723577074,-0.16351069724255737,0.00687000882975499,0.03440277643082992,0.11182088787624762,-0.02680825392699677,-0.0530029860088813,-0.06038132772198093,0.004347692085818567,-0.0033752815152450493,0.034933253767986186,-0.04240896715449982,0.025270358103231107,-0.02709809949721349,0.19709796495852636,0.0067744058057791256,0.003899207084799377,0.008846011587950023,-0.0028950497576271926,-0.0013859049192342175,0.0030475163092942687,0.008849360083535693,0.012388159779331071,0.21544812454079318,0.16104283798140911
NDBI,-0.5940765665086898,-0.5833314160992654,-0.5629327750305508,-0.5875355664196885,0.09387045827073826,0.03621580451638388,1.0,-0.5722234715092962,-0.07587900119796279,0.23692134489015104,-0.0749217483092644,0.04076610316111133,-0.018460818319044177,-0.02080082998479607,0.003072410581981742,-0.04804897788959575,-0.010565605092650572,0.13109507481795893,-0.003723396160030461,-0.052566102730265823,-0.10174907331350348,0.020870769159134637,0.016631861974539704,0.034116279254539,-0.007952495011822155,-0.018813779249868812,-0.04115610058311365,0.04594406449401033,-0.006774481931666087,0.028888264127297728,-0.08204582994933267,-0.0054247379116258605,-0.002717979746409909,-0.007261462775452384,0.0023578884913255447,0.005099634916095446,-0.00031778356916404297,-0.007182100748440059,-0.01036789820606776,-0.03268575873467947,0.23553754351054526
MNDWI,0.5586453161398723,0.5127147029391929,0.5048328750801344,0.22391232054377583,-0.5108293799664628,-0.7722266109240452,-0.5722234715092962,1.0,0.0821279235931641,-0.2833767531919538,-0.05599202011198262,0.10980885259269071,-0.013521194542502482,-0.016120897664604766,-0.01575119602513833,-0.0639014110801584,0.0009721149063066925,0.02524217438526304,-0.0043440759954128496,0.029981858955660582,-0.00017459291391808097,0.004953264008497727,0.03720499722103425,0.029011308487995047,0.00037858980653710634,0.021156388409594797,0.0017174281058341592,-0.008689805558334512,-0.01606610018181076,-0.007324905437328914,-0.1313860264688685,0.0033964968155059667,0.003463881414667376,0.0032324530524395806,0.006006912544392082,0.0005539253898736933,0.0020503656806980103,0.0025483587095948743,0.001974408718306744,-0.1333325114354634,-0.22095904257928403
viirs_mean,0.057944210331081866,0.05179408738577222,0.05136135563430364,0.03613071197680532,-0.04328722307805567,-0.045655750373480006,-0.07587900119796279,0.0821279235931641,1.0,0.24054661471262262,-0.14545639352863332,-0.15693945068258316,0.037910064618360516,0.03364509241080527,0.4292846973497866,-0.19468301495218318,-0.19981961665859005,-0.1340348322703872,-0.032227585764058916,0.046574576198089225,0.10053213102773237,-0.23829930329736598,-0.04126541457679299,-0.34298067959153433,-0.3381567604743971,-0.2519166908153566,-0.28100830173789304,-0.4073927568037226,0.4976766146514428,0.08495884831935095,-0.04965694531532789,0.1202239336474351,0.11762115360896586,0.12112944029733402,0.1683002853405637,0.11014655341972626,0.13136576918424267,0.05693813460834071,0.04688758782016851,-0.02411085608563425,-0.08563481955319996
S2_NDBI_contrast,-0.2654382271457324,-0.2568556966638249,-0.25367160304976905,-0.20588865033207326,0.05861270428728778,0.16819621290769918,0.23692134489015104,-0.2833767531919538,0.24054661471262262,1.0,-0.4048477821035602,-0.32779216910761244,-0.10453645723156806,-0.07923966959199114,0.44937793008078436,-0.3315898864364125,-0.3937672094200187,-0.003917142414417837,-0.06264090074755256,-0.04725753889687312,-0.020573565682616334,-0.3941492775721945,-0.06188754771014803,-0.5086813004457154,-0.37077389889676404,-0.266182020315396,-0.25411439601081826,-0.41499354678389994,0.6313264673609994,-0.049093209449138045,-0.04446326278429964,-0.05614159109761109,-0.05776234211908585,-0.05497926557161594,-0.018428140589878468,-0.027461778154859333,-0.03959107424425754,-0.11326742974820458,-0.12119686638981181,-0.15175578848977844,0.07803344665613243
