feature,n_valid,mean,std,skewness,kurtosis,shapiro_p,normal_5pct,suggested_transform
B2,794222,1348.1145,1558.7646,2.5562,6.9454,0.0,False,log1p
B3,794222,1375.7708,1537.0035,2.5986,7.2806,0.0,False,log1p
B4,794222,1352.7855,1598.6985,2.5968,7.3586,0.0,False,log1p
B8,794222,2137.555,1560.4297,1.908,5.5087,0.0,False,sqrt
B11,794222,1171.5184,635.3031,0.298,-0.0842,0.0,False,none
NDVI,794222,0.2072,0.2131,0.494,-0.2424,0.0,False,none
NDBI,794222,-0.1953,0.2084,0.3918,5.441,0.0,False,none
MNDWI,794222,0.0321,0.3308,0.441,-0.5845,0.0,False,none
viirs_mean,1154883,4.6952,8.4362,10.7223,494.6147,0.0,False,robust_scale
S2_NDBI_contrast,943749,3255.373,2367.029,0.849,0.2267,0.0,False,none
S2_NDBI_entropy,943749,3.7566,1.5713,0.0927,-0.8163,0.0,False,none
S2_NDBI_homogeneity,943749,0.5316,0.1731,0.3476,-0.2647,0.0,False,none
dw_water_frac,1165032,0.0558,0.0311,6.2348,56.7109,0.0,False,log1p
dw_trees_frac,1165032,0.1912,0.1828,0.9976,-0.4429,0.0,False,none
dw_grass_frac,1165032,0.0634,0.0275,1.3561,6.6291,0.0,False,sqrt
dw_flooded_vegetation_frac,1165032,0.0415,0.0111,1.9467,4.8809,0.0,False,sqrt
dw_crops_frac,1165032,0.1163,0.0998,1.2733,0.5484,0.0,False,sqrt
dw_shrub_and_scrub_frac,1165032,0.0553,0.0163,0.5925,0.4289,0.0,False,none
dw_built_frac,1165032,0.312,0.2294,0.3337,-1.5185,0.0,False,none
dw_bare_frac,1165032,0.0455,0.0077,4.6522,66.8426,0.0,False,log1p
dw_snow_and_ice_frac,1165032,0.1058,0.024,0.5675,3.7225,0.0,False,none
pop_total,1063128,272.8441,496.833,10.1466,203.8245,0.0,False,log1p
pop_male,1057056,129.3508,236.397,10.2973,209.6619,0.0,False,log1p
pop_female,1057980,144.9339,262.5191,9.9481,195.3302,0.0,False,log1p
households_total,978516,120.3287,206.5651,8.7454,154.6031,0.0,False,log1p
age_u15,911592,32.0669,62.635,12.9049,355.8937,0.0,False,log1p
age_15_64,983928,157.6277,280.8497,10.4135,223.1184,0.0,False,log1p
age_65_plus,983136,103.3127,174.5893,8.9197,141.0563,0.0,False,log1p
age_75_plus,979968,53.7922,91.8477,8.3004,120.4926,0.0,False,log1p
osm_built_area,1165032,17921.4728,50993.858,13.3557,260.521,0.0,False,log1p
osm_building_count,1165032,136.6396,397.0483,13.3332,262.9673,0.0,False,log1p
osm_built_ratio,1165032,0.0761,0.1142,1.9693,4.5029,0.0,False,sqrt
