pair,feature_1,feature_2,correlation,abs_correlation
B3 -- B4,B3,B4,0.9984,0.9984
pop_total -- pop_female,pop_total,pop_female,0.9979,0.9979
pop_total -- pop_male,pop_total,pop_male,0.9974,0.9974
B2 -- B3,B2,B3,0.9969,0.9969
pop_male -- age_15_64,pop_male,age_15_64,0.9939,0.9939
B2 -- B4,B2,B4,0.9938,0.9938
pop_total -- age_15_64,pop_total,age_15_64,0.9918,0.9918
pop_male -- pop_female,pop_male,pop_female,0.9906,0.9906
age_65_plus -- age_75_plus,age_65_plus,age_75_plus,0.9881,0.9881
pop_female -- age_15_64,pop_female,age_15_64,0.9854,0.9854
households_total -- age_15_64,households_total,age_15_64,0.9848,0.9848
pop_total -- households_total,pop_total,households_total,0.9845,0.9845
pop_male -- households_total,pop_male,households_total,0.9843,0.9843
pop_female -- households_total,pop_female,households_total,0.9806,0.9806
age_u15 -- age_15_64,age_u15,age_15_64,0.965,0.965
pop_female -- age_65_plus,pop_female,age_65_plus,0.9607,0.9607
pop_total -- age_65_plus,pop_total,age_65_plus,0.9554,0.9554
pop_total -- age_u15,pop_total,age_u15,0.9525,0.9525
pop_male -- age_u15,pop_male,age_u15,0.9524,0.9524
slope_mean -- aspect_cos_mean,slope_mean,aspect_cos_mean,-0.9507,0.9507
pop_female -- age_u15,pop_female,age_u15,0.9486,0.9486
pop_male -- age_65_plus,pop_male,age_65_plus,0.9453,0.9453
households_total -- age_u15,households_total,age_u15,0.9339,0.9339
pop_female -- age_75_plus,pop_female,age_75_plus,0.9276,0.9276
aspect_sin_mean -- aspect_cos_mean,aspect_sin_mean,aspect_cos_mean,0.9267,0.9267
osm_built_area -- osm_building_count,osm_built_area,osm_building_count,0.9245,0.9245
households_total -- age_65_plus,households_total,age_65_plus,0.9227,0.9227
pop_total -- age_75_plus,pop_total,age_75_plus,0.9197,0.9197
age_15_64 -- age_65_plus,age_15_64,age_65_plus,0.9133,0.9133
B3 -- B8,B3,B8,0.9111,0.9111
pop_male -- age_75_plus,pop_male,age_75_plus,0.9071,0.9071
B4 -- B8,B4,B8,0.9054,0.9054
B2 -- B8,B2,B8,0.8861,0.8861
households_total -- age_75_plus,households_total,age_75_plus,0.8828,0.8828
tri_mean -- dw_trees_frac,tri_mean,dw_trees_frac,0.8761,0.8761
age_15_64 -- age_75_plus,age_15_64,age_75_plus,0.8688,0.8688
age_u15 -- age_65_plus,age_u15,age_65_plus,0.8441,0.8441
elevation_mean -- elevation_std,elevation_mean,elevation_std,0.8302,0.8302
