feature,n_valid,outlier_count,outlier_pct,lower_bound,upper_bound,q1,q3,iqr
B2,794222,126397,15.91,-598.4163,2401.8776,526.6939,1276.7674,750.0735
B3,794222,127802,16.09,-473.0,2327.0,577.0,1277.0,700.0
B4,794222,110519,13.92,-760.334,2571.8337,489.2289,1322.2708,833.0419
B8,794222,55459,6.98,-658.3639,4566.237,1300.8615,2607.0117,1306.1502
B11,794222,6011,0.76,-587.9335,2907.131,722.7157,1596.4818,873.7661
NDVI,794222,2106,0.27,-0.4186,0.7817,0.0315,0.3316,0.3001
NDBI,794222,26822,3.38,-0.6503,0.2914,-0.2972,-0.0617,0.2354
MNDWI,794222,0,0.0,-1.0426,1.095,-0.241,0.2934,0.5344
viirs_mean,1154883,108666,9.41,-6.352,12.437,0.6939,5.3911,4.6972
S2_NDBI_contrast,943749,7917,0.84,-3932.7574,10025.2379,1301.4908,4790.9897,3489.4988
S2_NDBI_entropy,943749,88,0.01,-1.9026,8.9542,2.1687,4.8829,2.7142
S2_NDBI_homogeneity,943749,1176,0.12,0.0684,0.9782,0.4096,0.6371,0.2274
osm_built_area,1165032,92928,7.98,-28065.0302,47611.667,313.7312,19232.9055,18919.1743
osm_building_count,1165032,110616,9.49,-206.5,349.5,2.0,141.0,139.0
osm_built_ratio,1165032,87780,7.53,-0.1679,0.2808,0.0004,0.1125,0.1122
elevation_mean,1165032,96492,8.28,-73.4032,158.6501,13.6168,71.6301,58.0133
elevation_std,1165032,119856,10.29,-20.9329,39.0286,1.5527,16.5431,14.9904
slope_mean,826848,0,0.0,-0.3605,0.6295,0.0107,0.2582,0.2475
slope_std,826848,183612,22.21,-0.0,0.0,0.0,0.0,0.0
aspect_sin_mean,826848,22968,2.78,-1.2401,-0.2463,-0.8675,-0.619,0.2484
aspect_cos_mean,826848,0,0.0,0.0657,1.2172,0.4975,0.7854,0.2879
tri_mean,1165032,32472,2.79,-3.851,8.3949,0.7412,3.8027,3.0615
dw_water_frac,1165032,98604,8.46,0.0205,0.0795,0.0426,0.0574,0.0147
dw_trees_frac,1165032,0,0.0,-0.3633,0.7329,0.0478,0.3218,0.2741
dw_grass_frac,1165032,8976,0.77,-0.0237,0.1445,0.0394,0.0814,0.042
dw_flooded_vegetation_frac,1165032,66660,5.72,0.0167,0.063,0.0341,0.0457,0.0116
dw_crops_frac,1165032,43428,3.73,-0.1444,0.3492,0.0407,0.1641,0.1234
dw_shrub_and_scrub_frac,1165032,9372,0.8,0.0034,0.1034,0.0409,0.0659,0.025
dw_built_frac,1165032,0,0.0,-0.6098,1.2846,0.1006,0.5742,0.4736
dw_bare_frac,1165032,26136,2.24,0.0282,0.0613,0.0406,0.0489,0.0083
dw_snow_and_ice_frac,1165032,37620,3.23,0.0538,0.1583,0.093,0.1191,0.0261
pop_total,1063128,90816,8.54,-354.0,726.0,51.0,321.0,270.0
pop_male,1057056,93060,8.8,-166.875,342.125,24.0,151.25,127.25
pop_female,1057980,88176,8.33,-189.0,387.0,27.0,171.0,144.0
households_total,978516,87120,8.9,-150.5,317.5,25.0,142.0,117.0
age_u15,911592,81840,8.98,-43.0,85.0,5.0,37.0,32.0
age_15_64,983928,85140,8.65,-203.0,421.0,31.0,187.0,156.0
age_65_plus,983136,78012,7.94,-115.0,261.0,26.0,120.0,94.0
age_75_plus,979968,74316,7.58,-62.0,138.0,13.0,63.0,50.0
year,1165032,0,0.0,2008.0,2032.0,2017.0,2023.0,6.0
month_num,1165032,0,0.0,-4.5,17.5,3.75,9.25,5.5
