unit_id,n_total_months,n_valid_months,valid_pct,first_month,last_month,gap_count
aza:Akita:05201001001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201001002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201001003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201001004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201001005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201001006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201001007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201002007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201003007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201004001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201004002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201004003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201004004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005008,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201005009,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201006001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201006002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201007001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201007002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201007003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201007004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201007005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201007006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201008001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201008002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201008003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009008,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009009,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009010,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009011,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009012,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009013,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201009014,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201010001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201010002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201010003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201011001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201011002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201011003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201011004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201011005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201012007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201013007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014008,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014009,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014010,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014011,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201014012,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015006,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201015007,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201016001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201016002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201016003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201016004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201017001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201017002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201017003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201017004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201017005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201018001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201018002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201018003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201018004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201018005,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201019001,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201019002,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201019003,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201019004,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201020101,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201020102,132,93,70.5,2015-01-01,2025-12-01,7
aza:Akita:05201020103,132,93,70.5,2015-01-01,2025-12-01,7
