unit_id,physical_residual,top_shap_drivers
aza:Aomori:02203076020,0.06281151808131441,dist_bus_route_m [accessibility_transit]; n_medical_5000m [accessibility_medical]; household_size [demographic_threshold]
aza:Akita:05212052001,0.04815165975839117,dist_bus_route_m [accessibility_transit]; hls_vacancy_rate [durability_housing]; household_size [demographic_threshold]
aza:Akita:052101390,0.03261589288908341,hls_vacancy_rate [durability_housing]; dist_elementary_m [accessibility_education]; dist_hospital_m [accessibility_hospital]
aza:Akita:05212014001,0.02858768470148517,hls_vacancy_rate [durability_housing]; household_size [demographic_threshold]; hls_total_dwellings [durability_housing]
aza:Akita:05210038003,0.025734534113565268,hls_vacancy_rate [durability_housing]; household_size [demographic_threshold]; dist_bus_route_m [accessibility_transit]
aza:Akita:05434019005,0.023739261117822805,hls_vacancy_rate [durability_housing]; household_size [demographic_threshold]; years_since_merger [institutional_merger]
aza:Aomori:02203069206,0.02111537858201854,dist_bus_route_m [accessibility_transit]; hls_vacancy_rate [durability_housing]; dist_did_m [accessibility_did]
aza:Akita:05201070002,0.020352518747114173,hls_vacancy_rate [durability_housing]; n_bus_stop_1000m [accessibility_transit]; household_size [demographic_threshold]
aza:Aomori:02405008005,0.02002657134436629,fin_total_expenditure [institutional_fiscal]; hls_vacancy_rate [durability_housing]; household_size [demographic_threshold]
aza:Aomori:02203078046,0.019681123729512435,hls_vacancy_rate [durability_housing]; dist_did_m [accessibility_did]; dist_bus_route_m [accessibility_transit]
