unit_id,physical_residual,top_shap_drivers
aza:Akita:052100740,3328.0864517522546,n_medical_1000m [accessibility_medical]; hls_pre1981_ratio [durability_housing]; n_bus_stop_1000m [accessibility_transit]
aza:Akita:052100210,3210.8909355664005,n_medical_1000m [accessibility_medical]; n_bus_stop_1000m [accessibility_transit]; hls_pre1981_ratio [durability_housing]
aza:Akita:052100230,2888.725255622271,n_medical_1000m [accessibility_medical]; hls_pre1981_ratio [durability_housing]; n_bus_stop_1000m [accessibility_transit]
aza:Akita:05210038012,2473.683129767636,fin_local_alloc_tax [institutional_fiscal]; dist_bus_route_m [accessibility_transit]; fin_real_balance [institutional_fiscal]
aza:Akita:052100150,2413.6442741776755,n_medical_1000m [accessibility_medical]; n_bus_stop_1000m [accessibility_transit]; hls_pre1981_ratio [durability_housing]
aza:Akita:052100110,2411.1925376594572,n_medical_1000m [accessibility_medical]; n_bus_stop_1000m [accessibility_transit]; hls_pre1981_ratio [durability_housing]
aza:Akita:052150320,2410.9798230226097,n_school_1000m [accessibility_education]; hls_vacancy_other_rate [durability_housing]; n_medical_1000m [accessibility_medical]
aza:Akita:05207014002,2383.9378244841982,n_medical_1000m [accessibility_medical]; hls_vacancy_rate [durability_housing]; hls_pre1981_ratio [durability_housing]
aza:Akita:052150230,2354.895334354189,n_school_1000m [accessibility_education]; hls_pre1981_ratio [durability_housing]; dist_medical_m [accessibility_medical]
aza:Akita:05210004002,2336.9495103878294,n_medical_1000m [accessibility_medical]; hls_pre1981_ratio [durability_housing]; n_bus_stop_1000m [accessibility_transit]
