column,family,decision
unit_id,META,DROP
pref_name,META,DROP
B4_mean,EO_RS_S2_BAND,DROP
B4_std,EO_RS_S2_BAND,DROP
B8_mean,EO_RS_S2_BAND,DROP
B8_std,EO_RS_S2_BAND,DROP
B11_mean,EO_RS_S2_BAND,DROP
B11_std,EO_RS_S2_BAND,DROP
NDVI_mean,EO_RS_TRAJECTORY,DROP
NDVI_std,EO_RS_TRAJECTORY,DROP
NDBI_mean,EO_RS_TRAJECTORY,DROP
NDBI_std,EO_RS_TRAJECTORY,DROP
MNDWI_mean,EO_RS_TRAJECTORY,DROP
MNDWI_std,EO_RS_TRAJECTORY,DROP
viirs_mean_mean,EO_RS_VIIRS,DROP
viirs_mean_std,EO_RS_VIIRS,DROP
S2_NDBI_contrast_mean_x,EO_RS_GLCM_TARGET_COMPONENT,DROP
S2_NDBI_contrast_std_x,EO_RS_GLCM_TARGET_COMPONENT,DROP
S2_NDBI_entropy_mean_x,EO_RS_GLCM_TARGET_COMPONENT,DROP
S2_NDBI_entropy_std_x,EO_RS_GLCM_TARGET_COMPONENT,DROP
NDVI_slope,EO_RS_TRAJECTORY,DROP
NDBI_slope,EO_RS_TRAJECTORY,DROP
MNDWI_slope,EO_RS_TRAJECTORY,DROP
viirs_mean_slope,EO_RS_VIIRS,DROP
NDVI_seasonal_amp,EO_RS_TRAJECTORY,DROP
NDBI_seasonal_amp,EO_RS_TRAJECTORY,DROP
MNDWI_seasonal_amp,EO_RS_TRAJECTORY,DROP
osm_built_area,EO_RS_OSM_BUILT,DROP
osm_built_ratio,EO_RS_OSM_BUILT,DROP
elevation_mean,EO_TERRAIN_DEM,DROP
elevation_std,EO_TERRAIN_DEM,DROP
slope_mean,EO_TERRAIN_DEM,DROP
slope_std,EO_TERRAIN_DEM,DROP
aspect_sin_mean,EO_TERRAIN_DEM,DROP
aspect_cos_mean,EO_TERRAIN_DEM,DROP
tri_mean,EO_TERRAIN_DEM,DROP
dw_water_frac,EO_RS_LULC_DW,DROP
dw_trees_frac,EO_RS_LULC_DW,DROP
dw_grass_frac,EO_RS_LULC_DW,DROP
dw_flooded_vegetation_frac,EO_RS_LULC_DW,DROP
dw_crops_frac,EO_RS_LULC_DW,DROP
dw_shrub_and_scrub_frac,EO_RS_LULC_DW,DROP
dw_built_frac,EO_RS_LULC_DW,DROP
dw_bare_frac,EO_RS_LULC_DW,DROP
household_size,SOCIAL_STRUCTURAL,KEEP
muni_code,META,DROP
city_name_ja,META,DROP
elderly_flag_severely,DEMOGRAPHIC_FLAG,KEEP
elderly_flag_shrinking,DEMOGRAPHIC_FLAG,KEEP
household_size_small,DEMOGRAPHIC_FLAG,KEEP
S2_NDBI_contrast_mean_y,EO_RS_GLCM_TARGET_COMPONENT,DROP
S2_NDBI_contrast_std_y,EO_RS_GLCM_TARGET_COMPONENT,DROP
S2_NDBI_entropy_mean_y,EO_RS_GLCM_TARGET_COMPONENT,DROP
S2_NDBI_entropy_std_y,EO_RS_GLCM_TARGET_COMPONENT,DROP
fin_local_tax,INSTITUTIONAL_FISCAL,KEEP
fin_local_alloc_tax,INSTITUTIONAL_FISCAL,KEEP
fin_total_revenue,INSTITUTIONAL_FISCAL,KEEP
fin_total_expenditure,INSTITUTIONAL_FISCAL,KEEP
fin_std_fiscal_revenue,INSTITUTIONAL_FISCAL,KEEP
fin_std_fiscal_need,INSTITUTIONAL_FISCAL,KEEP
fin_real_balance,INSTITUTIONAL_FISCAL,KEEP
fin_fiscal_strength_index,INSTITUTIONAL_FISCAL,KEEP
hls_pre1981_ratio,DURABILITY_HLS,KEEP
hls_total_dwellings,DURABILITY_HLS,KEEP
hls_missing,DURABILITY_HLS,KEEP
kaso_type,INSTITUTIONAL_POLICY,KEEP
kaso_flag,INSTITUTIONAL_POLICY,KEEP
merged_flag,INSTITUTIONAL_POLICY,KEEP
years_since_merger,INSTITUTIONAL_POLICY,KEEP
dist_did_m,ACCESSIBILITY_NLNI,KEEP
in_did,ACCESSIBILITY_NLNI,KEEP
dist_medical_m,ACCESSIBILITY_NLNI,KEEP
dist_hospital_m,ACCESSIBILITY_NLNI,KEEP
n_medical_1000m,ACCESSIBILITY_NLNI,KEEP
n_medical_3000m,ACCESSIBILITY_NLNI,KEEP
n_medical_5000m,ACCESSIBILITY_NLNI,KEEP
dist_school_m,ACCESSIBILITY_NLNI,KEEP
dist_elementary_m,ACCESSIBILITY_NLNI,KEEP
n_school_1000m,ACCESSIBILITY_NLNI,KEEP
n_school_3000m,ACCESSIBILITY_NLNI,KEEP
n_school_5000m,ACCESSIBILITY_NLNI,KEEP
dist_bus_stop_m,ACCESSIBILITY_NLNI,KEEP
n_bus_stop_1000m,ACCESSIBILITY_NLNI,KEEP
n_bus_stop_3000m,ACCESSIBILITY_NLNI,KEEP
n_bus_stop_5000m,ACCESSIBILITY_NLNI,KEEP
dist_bus_route_m,ACCESSIBILITY_NLNI,KEEP
dist_community_facility_m,ACCESSIBILITY_NLNI,KEEP
n_community_facility_1000m,ACCESSIBILITY_NLNI,KEEP
n_community_facility_3000m,ACCESSIBILITY_NLNI,KEEP
n_community_facility_5000m,ACCESSIBILITY_NLNI,KEEP
