mechanism,mean_abs_shap,n_features,features
durability_housing,0.07218155935406685,5,"hls_missing, hls_pre1981_ratio, hls_total_dwellings, hls_vacancy_other_rate, hls_vacancy_rate"
institutional_policy,0.03843101765960455,2,"kaso_flag, kaso_type"
institutional_fiscal,0.03762149502290413,8,"fin_fiscal_strength_index, fin_local_alloc_tax, fin_local_tax, fin_real_balance, fin_std_fiscal_need, fin_std_fiscal_revenue, fin_total_expenditure, fin_total_revenue"
accessibility_hospital,0.019640274345874786,1,dist_hospital_m
demographic_threshold,0.00946912678773515,4,"elderly_flag_severely, elderly_flag_shrinking, household_size, household_size_small"
accessibility_did,0.008706386091944296,2,"dist_did_m, in_did"
accessibility_education,0.008307134290225804,5,"dist_elementary_m, dist_school_m, n_school_1000m, n_school_3000m, n_school_5000m"
institutional_merger,0.007946464233100414,2,"merged_flag, years_since_merger"
accessibility_medical,0.005883878737222403,4,"dist_medical_m, n_medical_1000m, n_medical_3000m, n_medical_5000m"
accessibility_transit,0.005708419508300722,5,"dist_bus_route_m, dist_bus_stop_m, n_bus_stop_1000m, n_bus_stop_3000m, n_bus_stop_5000m"
accessibility_community,0.005485685956955422,4,"dist_community_facility_m, n_community_facility_1000m, n_community_facility_3000m, n_community_facility_5000m"
