mechanism,mean_abs_shap,n_features,features
accessibility_hospital,34.13459777832031,1,dist_hospital_m
accessibility_medical,30.445815801620483,4,"dist_medical_m, n_medical_1000m, n_medical_3000m, n_medical_5000m"
accessibility_transit,26.53915548324585,5,"dist_bus_route_m, dist_bus_stop_m, n_bus_stop_1000m, n_bus_stop_3000m, n_bus_stop_5000m"
accessibility_education,26.442436981201173,5,"dist_elementary_m, dist_school_m, n_school_1000m, n_school_3000m, n_school_5000m"
accessibility_did,19.701561212539673,2,"dist_did_m, in_did"
accessibility_community,18.813010215759277,4,"dist_community_facility_m, n_community_facility_1000m, n_community_facility_3000m, n_community_facility_5000m"
institutional_fiscal,13.970517441630363,8,"fin_fiscal_strength_index, fin_local_alloc_tax, fin_local_tax, fin_real_balance, fin_std_fiscal_need, fin_std_fiscal_revenue, fin_total_expenditure, fin_total_revenue"
institutional_policy,12.774152725934982,2,"kaso_flag, kaso_type"
durability_housing,12.729774284362794,5,"hls_missing, hls_pre1981_ratio, hls_total_dwellings, hls_vacancy_other_rate, hls_vacancy_rate"
institutional_merger,11.443765640258789,2,"merged_flag, years_since_merger"
demographic_threshold,4.256159929558635,4,"elderly_flag_severely, elderly_flag_shrinking, household_size, household_size_small"
