column,role,dtype,log1p_applied,scaled
unit_id,identifier,object,False,False
pref_name,identifier,object,False,False
B4_mean,feature,float64,True,True
B4_std,feature,float64,False,True
B8_mean,feature,float64,True,True
B8_std,feature,float64,False,True
B11_mean,feature,float64,False,True
B11_std,feature,float64,False,True
NDVI_mean,feature,float64,False,True
NDVI_std,feature,float64,False,True
NDBI_mean,feature,float64,False,True
NDBI_std,feature,float64,False,True
viirs_mean_mean,feature,float64,True,True
viirs_mean_std,feature,float64,False,True
S2_NDBI_contrast_mean,feature,float64,True,True
S2_NDBI_contrast_std,feature,float64,False,True
S2_NDBI_entropy_mean,feature,float64,False,True
S2_NDBI_entropy_std,feature,float64,False,True
NDVI_slope,feature,float64,False,True
NDBI_slope,feature,float64,False,True
viirs_mean_slope,feature,float64,False,True
NDVI_seasonal_amp,feature,float64,False,True
NDBI_seasonal_amp,feature,float64,False,True
pop_total,feature,float64,True,True
age_u15,feature,float64,True,True
age_65_plus,feature,float64,True,True
osm_built_area,feature,float64,True,True
osm_built_ratio,feature,float64,True,True
elderly_ratio,feature,float64,False,True
aging_index,feature,float64,False,True
youth_ratio,feature,float64,False,True
household_size,feature,float64,False,True
shrinkage_class,target,object,False,False
shrinkage_code,target,int64,False,False
