,unit_id,pref_name,NDVI_slope,NDBI_slope,viirs_mean_slope,S2_NDBI_contrast_slope,NDVI_cv,NDVI_seasonal_amp,NDBI_seasonal_amp,S2_NDBI_contrast_mean,S2_NDBI_entropy_mean,elderly_ratio,aging_index,youth_ratio,household_size,pop_total
0,mura:Akita:05201,Akita,0.329785,0.18004,-0.277085,13.18033,0.9544308507294756,0.345064,0.387635,106.14038083177861,5.112999780884334,0.3118549100215324,2.924471925328075,0.10663617406002446,2.2517974886919263,307672.16360114596
1,mura:Akita:05202,Akita,0.35979,0.100243,0.22904,-4.97858,0.9451607346364748,0.390235,0.320455,133.44189496102234,4.8432678070082344,0.41556639444526605,4.907823554993631,0.08467434143804442,2.3708489550924106,49968.019329881696
2,mura:Akita:05203,Akita,0.267891,0.226854,0.05085,-9.662574,0.8711349987693688,0.55857,0.696929,120.23294377668459,4.714188713779043,0.390404179981918,3.9147915369057418,0.09972529199696956,2.758682045732066,85555.03676407228
3,mura:Akita:05204,Akita,0.534481,0.057594,0.293664,9.534138,0.7471900191197155,0.603025,0.388963,109.41053765000069,5.763263091939134,0.3899363614607426,4.16700128991613,0.0935771765937351,2.4763766117063657,69237.0285840437
4,mura:Akita:05206,Akita,0.19363,0.160806,-0.290259,-28.984513,1.7946614606708091,0.173766,0.251764,189.55654261930064,5.099902888218316,0.4694686931886374,6.853744172873714,0.06849839632319658,2.4077731255328603,25154.008354549154
5,mura:Akita:05207,Akita,0.272364,0.227909,0.210802,8.102285,0.8693127414366684,0.568754,0.707962,106.27181774818202,5.644609343798736,0.40212910738680613,4.684749820082423,0.08583796353765354,2.6946865672854177,42091.01570713946
6,mura:Akita:05209,Akita,0.233843,0.112804,0.243592,0.900336,0.5429075151216007,0.512609,0.408564,124.33141737731438,5.7330755259810955,0.4071442428150217,4.116440937109692,0.09890674461738727,2.6608125962762474,29088.00999806999
7,mura:Akita:05210,Akita,0.268426,0.211597,0.131214,24.940403,1.1910415093444728,0.30716,0.485897,118.12170936921657,5.913216026780656,0.3718931443402829,3.7207715218094437,0.09995043958181611,2.644402286842966,74707.03129511522
8,mura:Akita:05211,Akita,0.279038,0.15865,-0.607165,-65.483855,1.0550148761628955,0.25885,0.329886,228.54297979945295,4.238935187462861,0.35365721927868426,3.428484181656623,0.10315251304402545,2.589388129781325,31720.011121742875
9,mura:Akita:05212,Akita,0.376263,0.204736,0.082234,9.415819,0.9658637102861378,0.430667,0.524064,121.79414931160392,5.2784746615032505,0.38465335201049944,3.9247143944780176,0.09800789630474002,2.7464900470312266,77657.03277062126
10,mura:Akita:05213,Akita,0.484886,0.112477,0.28668,4.352527,0.788499733768617,0.534764,0.431038,83.06741526295555,4.90028105227676,0.4449968902375555,5.514157206639335,0.08070090635596888,2.575083530684767,30198.01046973899
11,mura:Akita:05214,Akita,0.105473,0.188562,0.124852,-7.13868,1.1868666449088123,0.233056,0.327931,186.54100654592546,6.341941859249163,0.3900152797873921,4.073083971246562,0.09575423060381492,2.7208872722748816,23435.007651386193
12,mura:Akita:05215,Akita,0.464312,0.136848,0.234158,-5.55547,0.7949027899909493,0.497458,0.567761,103.54048873941957,6.267542016857236,0.4279972240238308,4.933489811415376,0.08675347726868889,2.6691976905357855,24610.00813097965
13,mura:Akita:05303,Akita,0.306403,0.000776,0.446095,-48.838115,0.6459987335376843,0.54858,0.408352,151.88873082136277,4.241149123456029,0.4487453155545858,6.059322590404574,0.07405885491563667,2.3558409274484045,4780.000955039244
14,mura:Akita:05327,Akita,0.419747,0.131873,0.285369,-70.226609,0.8442044164640992,0.450043,0.446992,154.1514462213262,5.691857247911269,0.5365980346404922,9.461539641925135,0.05671400991732776,2.500606525509824,2063.000274085065
15,mura:Akita:05346,Akita,0.431782,0.056489,0.314067,-54.305831,0.9059978618508924,0.511979,0.328244,143.33467053374014,5.7913715011806675,0.4879150442563789,7.0650007409221605,0.0690611110426719,2.592659279143692,2896.0004629990917
16,mura:Akita:05348,Akita,0.3293,0.125264,0.149418,-22.379199,0.9647024656586055,0.332874,0.328741,172.71016820262972,5.381200150034178,0.45463541569592153,5.942588367148156,0.07650477152366555,2.6728581836672918,15254.004458296835
17,mura:Akita:05349,Akita,0.341352,0.081712,0.263651,-29.768903,1.0416988973741061,0.404449,0.286654,167.75667113879442,5.3433485595592405,0.46160922582274555,6.868778985483048,0.06720425222591533,2.524760517132654,6577.001481325856
18,mura:Akita:05361,Akita,0.357755,0.14312,0.128643,-60.844621,0.905346687223319,0.365311,0.397384,158.331563306978,5.032483168501357,0.4729451119135075,6.775168473009165,0.06980590368880914,2.559352923188233,8538.00210053962
19,mura:Akita:05363,Akita,0.303132,0.144087,-0.323494,-233.082231,1.0001281812179759,0.290268,0.331632,557.4076540438715,4.881429233397942,0.4436688070249071,5.855792481358944,0.07576597435351742,2.6162140306414026,5583.001184556269
20,mura:Akita:05366,Akita,0.318931,0.151818,-0.089305,-162.614799,0.9629577881362366,0.310575,0.367143,262.0477222968593,4.314654570017853,0.43298340899867493,5.9548198144515405,0.07271163841961154,2.9980301629416513,4566.0008956190195
21,mura:Akita:05368,Akita,0.272584,0.142788,0.081516,20.909781,1.098266252053462,0.265626,0.29708,213.00855523670253,6.8012716426405895,0.3168383543571614,2.725714230921243,0.11624022234122536,3.6059873655104155,3011.000490725669
22,mura:Akita:05434,Akita,0.279686,0.229635,-0.000854,-44.314782,0.8665102909960324,0.585629,0.726025,229.05384217374788,5.708493574289413,0.395799,4.162147101267719,0.09509485094077455,3.1203686531749035,18613.005735272684
23,mura:Akita:05463,Akita,0.229994,0.217919,0.225815,-15.243578,0.8909712168784937,0.481991,0.60344,158.91954316324183,5.672275436899055,0.39327341205959176,4.2278384788233385,0.09301994117677605,2.9743975737741284,13825.00393226175
24,mura:Akita:05464,Akita,0.288124,0.272257,0.814999,-82.423781,0.7069736102092972,0.5857,0.774637,160.2940023702843,4.558769737211741,0.3727813510207583,4.893204226164851,0.07618368393077699,3.4227843378653375,2704.0004175264116
25,mura:Aomori:02201,Aomori,0.144656,-0.011465,-0.473563,-15.239646,0.818255447036634,0.443119,0.355436,111.25527252501448,6.109968690514372,0.3081013177111106,3.023787446371026,0.1018924399400083,2.3308128034305238,275192.1438828099
26,mura:Aomori:02202,Aomori,0.413692,-0.065855,0.196187,-35.882284,1.0708415143885606,0.632305,0.306577,115.2663303096242,4.876886938510324,0.32007656031155096,3.0959407606426246,0.10338577152366556,2.381381076009328,168466.08149130468
27,mura:Aomori:02203,Aomori,0.14594,0.061677,-2.203846,-19.451248,0.6192333726641283,0.233693,0.42211,191.71398813953238,5.30652545571914,0.31031048120197013,2.704321988405398,0.11474588892635884,2.3413370062130037,223415.11309919364
28,mura:Aomori:02204,Aomori,0.207444,-0.031138,0.293074,-67.033015,0.7492686080576015,0.540185,0.379013,152.66186953949295,5.642407382530653,0.34254698027097086,3.404791606758056,0.1006072332841573,2.749698955092411,31946.011219061525
