,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
NDVI_slope,0.4473259004242653,0.052540667437123864,-0.06672859453404845,-0.43126933707798276,-0.32653911836513416,0.15313542380220682,0.15676757330079769,0.04177658513752578,-0.3236969017487577,-0.47295588695472274,-0.3490365403302383
viirs_mean_slope,0.22009330106690828,-0.05492804076813007,0.576100049572038,0.15644593639675503,-0.08108536739144993,0.08091475796451633,-0.18909885900638093,-0.552588947313896,0.3465961268818309,-0.3368884197098061,0.06570852680109707
S2_NDBI_contrast_slope,-0.07474673546324376,0.5945866551094766,0.22076336472811947,0.16909240124140684,-0.003454506412061232,-0.07733096741390655,0.30267219689253944,0.1700917899158651,-0.2515819190098069,-0.3127453998672083,0.525275258054888
NDVI_cv,-0.32454561040390484,-0.07136317088954332,0.2389447618764776,-0.027565362935299077,0.1264595038089728,0.8615433721669697,-0.10329880158332136,0.21417100485486046,-0.11844464333300815,-0.04803618407741075,-0.02444458372822922
NDVI_seasonal_amp,0.5168468222702993,0.08830147252991413,-0.03433076751328967,-0.2866634208013946,-0.08353346742913245,0.25596915346321764,-0.160553738836477,-0.10956836167490552,-0.07080429858515874,0.5105651938008696,0.5155064028463393
NDBI_seasonal_amp,0.3363864029175089,0.2565469871954435,-0.0728758005264139,0.1766387136667561,0.6602080653655139,-0.04131714910890704,-0.48753613005040863,0.06629767946186381,-0.22036481038410494,-0.13353594968297813,-0.19609833635416596
S2_NDBI_contrast_mean,0.05037232334799834,-0.5505725415239828,-0.3526934851135808,0.1666462587328065,-0.04970113806659818,0.0016200240633490884,-0.23025245461630903,0.12731379307906732,-0.08438881227368962,-0.459092564158343,0.5025769185891839
S2_NDBI_entropy_mean,0.2298987975249729,0.038643485495786126,0.1290250115779441,0.6175904782464204,-0.5380264343191257,0.02850463462553258,-0.2269920596231829,0.35037121182401665,-0.11090621062148487,0.18999483628455563,-0.18606237312921028
elderly_ratio,0.048897413443399596,-0.1666790628884922,0.501030028721424,-0.40027289298255336,0.06062436832812057,-0.3029480945064361,-0.19847899469765648,0.6125532110021806,0.20719105582136185,-0.023686421905135355,0.07085382541097213
household_size,0.44147191181632245,-0.12410095130087546,-0.07071807193843013,0.24674357064108313,0.2958120419835459,0.20338065998487526,0.5742263319488388,0.26011139321754495,0.443168525303258,-0.01863154304105837,-0.028466105690017562
pop_total,-0.08703945171261833,0.46279205994521033,-0.3927635392782403,-0.12850071446843864,-0.2117030291016567,0.14346285040117132,-0.3166134670481287,0.14089345821374882,0.6208436293825144,-0.19084258776224744,0.010463755712469273
