,component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
0,PC1,2.7870792602922125,0.24947282889328892,0.24947282889328892
1,PC2,2.1723408883169952,0.19444729629690582,0.44392012519019475
2,PC3,1.9742702063816806,0.17671789259919934,0.6206380177893941
3,PC4,1.2567992317076035,0.11249671444655471,0.7331347322359488
4,PC5,0.8038047861297389,0.07194895987734724,0.8050836921132961
5,PC6,0.712193318555673,0.06374877257001828,0.8688324646833144
6,PC7,0.5153134553748537,0.04612595964194494,0.9149584243252594
7,PC8,0.43133866322101105,0.03860933488971287,0.9535677592149723
8,PC9,0.28620360413160334,0.025618224705486168,0.9791859839204584
9,PC10,0.1728090656903468,0.015468224061793276,0.9946542079822517
10,PC11,0.05972252019828247,0.00534579201774836,1.0
