,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
NDBI_slope,-0.21808092058773532,-0.21070524672443683,0.5812653523170829,-0.33701116045600854,0.06601089939816504,-0.1287654755406549,0.07026518566214901,0.1572508270084748,0.018817967056246866,-0.017570497651506936,0.2410427763237802,0.5892627726837265
viirs_mean_slope,-0.264215419066563,-0.20414375376706284,-0.10671058436086517,0.4164150844636829,0.24088684609046623,-0.380982720439361,0.13070299366893354,0.61729329920947,0.25029166722271917,-0.0865180473710883,0.07964805066480632,-0.16106883581059206
S2_NDBI_contrast_slope,-0.12210370712072952,0.502870211874283,0.24858299416466356,-0.13659702267204882,-0.05444492190144216,-0.0018945654359585617,-0.29445127350132305,0.0056025946055176384,0.66968565185107,0.18728033699039062,0.1594159258045593,-0.2304191146057337
NDVI_cv,-0.024655938264837866,0.06064373594615155,-0.06029865521841589,-0.11181298805014848,0.9076641583267753,0.3660620804116406,-0.141184327202403,-0.01023562027677911,-0.03851218312939794,-0.0055786729865917204,0.012862446761003453,0.0017732191520660762
NDVI_seasonal_amp,-0.07020178456889012,-0.07815460969396655,0.10073639076603993,0.7204965663363575,-0.054344416286123014,0.18828373184749714,-0.45633669256688847,-0.22116027535683985,-0.006716453310881949,0.06892556614173466,0.22522313461725119,0.3295755080119291
NDBI_seasonal_amp,-0.1458768205827491,-0.2718956300157883,0.6485464221808638,0.09602009134441539,0.0029983861430408765,0.1064819588820432,-0.11833262634879446,-0.0639075747896638,-0.19651419307158396,-0.10485899057053216,-0.2699236382249455,-0.5683785771948466
S2_NDBI_contrast_mean,0.5125122740407463,-0.2940411506290912,0.01210430191091777,-0.12118198899364789,-0.06977971666740213,0.1630078665587624,-0.10224596826882096,0.17345325067569195,0.010773450142249633,-0.125565782554523,0.6882265571528758,-0.272982991321224
S2_NDBI_entropy_mean,-0.42411888372366274,0.3739654682247233,-0.0037720254221157296,0.06287184624908967,0.043405058118385784,-0.1466037447566049,0.2506794965684687,-0.2921934685759442,-0.31787789769020375,-0.33450831193775943,0.5091203305331795,-0.18046144778072265
elderly_ratio,-0.41705530697231774,-0.25064390193283076,-0.24129588222889908,-0.2323421888716296,-0.057426621216420566,-0.0820515314945499,-0.270321545377155,0.010032087927740296,-0.2589701960196402,0.6585106893307434,0.19368240987239144,-0.17209442823151305
aging_index,-0.36081697635871834,-0.16515069949478894,-0.2862170543094043,-0.2685030283087307,-0.1961555407719742,0.18676986364681156,-0.46885260019574704,0.11574342054706885,0.09434574085950395,-0.600802622767202,-0.10061280386771529,0.04421710915899528
household_size,-0.29722735219065444,-0.08189643687328883,-0.028632072521626018,0.08735771336438392,-0.2025877736495316,0.7318416207678815,0.4949672415247646,0.14120308322986064,0.18510857049265467,0.12806131484563738,0.06521119111014487,-0.00393466434856523
pop_total,0.07675662520357196,0.5042049407557476,0.11588478583610087,0.034348532476037696,-0.13514984960326856,0.17945917497870492,-0.19471943960250968,0.6262510770497038,-0.4868066113807194,0.05188757995556808,-0.040544304857605226,0.0581610302732969
