,component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
0,PC1,2.10646544541313,0.17551521853732077,0.17551521853732077
1,PC2,1.7603181399269172,0.14667348268031413,0.3221887012176349
2,PC3,1.5203039160998388,0.12667498280517703,0.4488636840228119
3,PC4,1.2933986016678294,0.10776874537482464,0.5566324293976366
4,PC5,1.0038281719010997,0.08364111614021093,0.6402735455378475
5,PC6,0.9439641054371131,0.07865311373512109,0.7189266592729686
6,PC7,0.8060185128344476,0.06715919111481977,0.7860858503877883
7,PC8,0.721788283433639,0.060140947757007596,0.846226798144796
8,PC9,0.6451257203207179,0.05375325858427751,0.8999800567290734
9,PC10,0.5303212150046794,0.04418750098616909,0.9441675577152425
10,PC11,0.39318585319060234,0.032761088532832265,0.9769286462480747
11,PC12,0.27689342190574434,0.023071353751925334,1.0
